Run,Success,Crashed,START_X,START_Y,START_Z,START_Vx,START_Vy,START_Vz,START_Phi,START_Theta,START_Psi,START_p,START_q,START_r,RMSE_X,RMSE_Y,RMSE_Z,RMSE_Vx,RMSE_Vy,RMSE_Vz,RMSE_Phi,RMSE_Theta,RMSE_Psi,RMSE_p,RMSE_q,RMSE_r
1,1,0,0.154878628264547,-1.30684232766089,-0.05,0.762855845156049,0.479316456914462,-0.493086073760203,-0.012419199427612,-0.0254358543538918,-0.00320253445730286,-0.0111686654788809,-0.0124847494434431,0.003166270902206,0.0046770901473641,0.0462028014534556,7.02195418597137e-06,0.000847855686919717,0.000397721748413086,4.87710492055218e-07,0.00137938688855368,4.02386448975568e-05,1.28721843168801e-08,4.57494735106839e-06,1.01302121473546e-05,1.81332424747468e-08
2,1,0,-0.302594385743931,-0.00217410769457443,-0.05,-0.175760213071016,-0.0724348719594815,0.107035693135767,-0.0342508037175267,0.0725488745417411,0.0316844205451243,-0.048090705056372,-0.0115663554039577,0.0112386167640309,0.00244140558251553,0.0456489651858491,7.02602857800066e-06,8.63180983227916e-05,0.000135259370569199,1.88401103826423e-07,0.00138564974822872,1.17515467414693e-05,3.81473135095602e-09,1.55652827183904e-06,1.03135382778649e-06,1.35928968488039e-10
3,1,0,0.935732956850201,-1.42647266092827,-0.05,0.883181177789007,-0.019875723650462,-0.751312676064174,-0.0222510022134623,-0.0339966765072656,0.0822287580081685,-0.0382410055277575,-0.0140864309863184,0.00675177816058331,0.00616275769596463,0.0469510780532686,7.01641141263971e-06,0.00138409581484974,0.000738290599832808,8.60087512770536e-07,0.00137106803364018,5.86963884211892e-05,2.35690755493354e-08,8.49027900546872e-06,1.65370361437559e-05,3.01191924751792e-08
4,1,0,0.742924973414299,-1.62481574939049,-0.05,0.684012357322726,-0.704419736395247,-0.441083137446393,-0.0181458029984102,0.0441309692770031,0.0288361697576958,8.88121966536584e-05,0.0153121338431685,-0.00948657971310962,0.00476101913158226,0.0481600457670081,7.00739913207789e-06,0.000873490112215005,0.00128791886575284,1.63795544734969e-06,0.0013579905176762,4.12171300977606e-05,3.87709070239692e-08,1.48028318326792e-05,1.04365393622926e-05,2.66651047243711e-08
5,1,0,1.57221602093947,0.0919459707104504,-0.05,-0.920779026460285,-0.452033565617234,-0.492824124335218,-0.0591576857847414,0.0345986706558674,-0.0632410746028668,-3.46404459072915e-06,-0.00212128099616045,-0.0135022182557343,0.00354571284585188,0.0461473977562501,7.02230348851038e-06,0.000412688584015864,0.000373955317108513,4.96375291440322e-07,0.0013800127185878,2.57351965577405e-05,1.15291380858166e-08,4.30169154329747e-06,4.9308737817733e-06,1.0614586267771e-08
6,1,0,0.108789979909811,-0.702664332208398,-0.05,0.923985007070951,-0.755014866019469,0.132552358648582,-0.0261649098749436,-0.0109695821524926,-0.0906024538078396,0.0146894735720528,0.00377147775847786,0.0191217493683079,0.00468280014254053,0.0473065278322116,7.01368145120715e-06,0.000847273125955349,0.000907653291073591,1.1595262903738e-06,0.00136719869122554,4.02716433702172e-05,2.76914740167391e-08,1.04353479589636e-05,1.01232746955527e-05,2.27776639379023e-08
7,1,0,0.621104765042856,-0.795489794118014,-0.05,-0.61091878394733,-0.255418102955509,0.259768889866,-0.057854349075983,-0.0128222119099797,-0.114444619240449,-0.0171812492148276,0.0082632563506157,0.0142500220989955,0.00326890047672693,0.0468332286896589,7.01712063830358e-06,0.000297986481608536,0.000696394041218262,9.31811161723269e-07,0.00137239285858453,2.21060589997701e-05,2.07388295251934e-08,8.00835196331762e-06,3.56040513819991e-06,1.17532710733072e-08
8,1,0,1.39092067450908,0.419890855243628,-0.05,0.180626559556486,-0.489143553943678,-0.989412599864538,0.0520728291635718,0.0281709868169394,0.0233274037907376,0.0114183174577099,-0.00764431214710044,0.0195939604381213,0.004840905912518,0.0449993046248452,7.03122359623402e-06,0.000908517989274034,0.000178992736812291,3.1839708284985e-07,0.00139313547946521,4.23030032597272e-05,3.80878736178792e-09,2.05990956386062e-06,1.08549839948844e-05,1.39306000605608e-08
9,1,0,0.959860463231492,-0.288594939560957,-0.05,-0.307971454656717,-0.0253083593749241,0.334592237185592,0.0602073198665774,0.0518075691812689,-0.0991113553823747,0.00514168548590815,-0.0535619467738697,-0.0279039627713485,0.00358013906723919,0.0452009697793276,7.02957207431875e-06,0.000426902129120253,8.20397251792686e-05,1.33058481094758e-07,0.00139079466742277,2.61876742335784e-05,1.73560799939751e-09,9.44767304739707e-07,5.10070501023811e-06,6.52732227065513e-09
10,1,0,-0.846317504691322,0.0442020129364232,-0.05,-0.0288423933050043,-0.0613091912128389,0.518575630315337,0.00613873496079776,0.046164223073497,-0.00398671237589367,-0.0159597714800896,-0.0207050853445566,0.0209396698188104,0.00230926049974673,0.0453139007029358,7.02860168925873e-06,0.000161471887113449,2.70305638941497e-05,3.73275594649465e-08,0.00138949083550823,1.05700747645614e-05,1.03686585650328e-09,3.11097813631236e-07,1.92930494527253e-06,3.03104873661857e-09
11,1,0,-0.415961683697135,0.483943385689706,-0.05,-0.00325624330770124,-0.261882574975299,0.230258395472319,-0.0441085550090765,0.0481864399605425,0.0669376707466037,0.0317714798092457,0.011796769915609,0.016327286318781,0.00262485059699943,0.0454180252783016,7.02782285513435e-06,8.63319892241706e-06,2.35156826961948e-05,3.26848200093559e-08,0.00138829307030375,1.38204297189935e-05,7.03022318531884e-10,2.70986195416742e-07,1.03157471866872e-07,3.89114198430605e-10
12,1,0,0.788261209618102,-1.00819440802107,-0.05,-0.0576651263299845,0.209571776854331,-0.571486048654138,-0.0117012366599317,-0.0741631078889731,-0.0137339621217298,0.00397985127112794,0.00586639408445425,0.0119284681280414,0.00476635048854282,0.0461847874183596,7.02209619882176e-06,0.000880526441230945,0.000388551720707101,4.71476725874991e-07,0.00137958829257989,4.13580643861159e-05,1.26552753817714e-08,4.46933409766973e-06,1.05205537489507e-05,1.86017560717921e-08
13,1,0,0.980724754012804,-0.215531449791738,-0.05,0.480610629820221,0.517479752547023,-0.0784549382743104,0.00580016865190118,0.0476172613151677,-0.00345912354942287,-0.0126843101281029,-0.00887292780168566,-0.0112304386494896,0.00465552658918697,0.044954601620548,7.03156099444636e-06,0.00084001859196726,0.000201041838978665,3.41054963383744e-07,0.00139365656806397,3.99689275431863e-05,4.55476926978233e-09,2.31285048702923e-06,1.00365714122881e-05,1.25489980757738e-08
14,1,0,-1.08409581647041,1.23290152670721,-0.05,-1.04250655642841,-0.0460788777669861,0.0648127738137427,0.0108014589477587,-0.011177826400475,-0.0799526843000968,-0.00949841374830548,-0.0179387077598662,0.0120001214426405,0.00188602188304105,0.0441121778136751,7.03798443976909e-06,0.000623398673065178,0.000616238626993835,9.01572856492416e-07,0.00140362445105703,1.58073959274545e-05,1.89482143886486e-08,7.08689566786693e-06,7.44843506239711e-06,1.70093155654152e-08
15,1,0,-0.39327924244944,0.475658343737711,-0.05,-0.0317266021650721,-0.27952374963029,-0.367698521374601,-0.0726032476592004,-0.0418446349818092,-0.0320033731732653,-0.00192376273049264,0.00723017829061356,0.00401592009862429,0.00309598845593761,0.0457318780270297,7.02544202543241e-06,0.000225064795845139,0.000175114743379223,2.36129649629165e-07,0.0013847063764494,1.98455546090395e-05,5.45479093873933e-09,2.01498211023415e-06,2.6891385505783e-06,5.55260368210423e-09
16,1,0,0.85703099630909,0.0482087322553789,-0.05,0.511674225459004,-0.0909964368134292,-0.145064192161101,0.042683976985685,0.0168772814165886,0.00724528106287076,-0.00787165301314675,-0.00267106234537272,-0.0153414812600561,0.00480686538530932,0.045057061613876,7.03077074145143e-06,0.000896193849022117,0.000151098555561473,2.77374278818892e-07,0.00139246349443978,4.18782885649076e-05,3.01683688625361e-09,1.73893916168664e-06,1.07077400784616e-05,1.39697668661961e-08
17,1,0,-0.192706939633842,0.194885569504571,-0.05,0.797439042441895,-0.22097164436064,-0.210985414743211,0.01182333933196,0.00766577365920466,0.00050737605364118,0.00187795185336037,-0.0357710725993033,0.0229341481371751,0.00396462684738632,0.0452789866635381,7.02899142398953e-06,0.000578861353078725,4.39906182787014e-05,9.19726473393837e-08,0.0013898936361733,3.11713875219604e-05,3.89245961430426e-10,5.06456980345192e-07,6.91631424654861e-06,9.50293070990273e-09
18,1,0,0.618040254634025,-0.419264903307037,-0.05,-0.327309470353439,-0.345073361446748,-0.839634332385938,-0.0129940955590937,0.062483917365448,-0.0818684886481692,-0.0304592975930187,-0.000420532369343292,-0.0235303450826051,0.00301570329295774,0.0461500465718586,7.02224752155363e-06,0.000190040234555418,0.000375492620757094,5.10271359846535e-07,0.00137998255618473,1.87951886768723e-05,1.12335586108622e-08,4.31891146699049e-06,2.27064768884754e-06,6.87495776039188e-09
