Run,Success,Crashed,START_X,START_Y,START_Z,START_Vx,START_Vy,START_Vz,START_Phi,START_Theta,START_Psi,START_p,START_q,START_r,RMSE_X,RMSE_Y,RMSE_Z,RMSE_Vx,RMSE_Vy,RMSE_Vz,RMSE_Phi,RMSE_Theta,RMSE_Psi,RMSE_p,RMSE_q,RMSE_r
1,1,0,-2.75420476826168,-6.7113254120743,-6.31705375792618,20.4022556299038,0.517519647489612,-0.171703685203666,-0.0537356957632055,0.226119765995401,0.0455685496384913,-0.0140419557927867,-0.028866197609414,-0.0180542818881764,0,0.00203406795971862,0.0264692551794993,0.00541194643019261,0.000336305950647375,0.0137092286228838,1.90094329287533e-07,0.000431864717566666,1.22011550114756e-05,5.13370248117011e-07,4.6167309760595e-05,2.57542427229019e-05
2,0,1,1.999546834732,4.23567116558934,-9.75994521648861,22.5353846226215,0.167718537589809,0.335607224325576,-0.0735939637916476,0.251873089959908,-0.0635790270013237,0.0313561717206191,0.0338015761844925,0.00197667007383769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1,0,-0.42333232958841,4.36005205512076,-19.0182766363029,25.1687003841815,0.0345693047566448,0.18279338930351,-0.154437150950913,-0.24612203167663,-0.460484110352102,0.0190276382650312,0.0376295200924535,-0.0155100555396332,0,0.0126041138783625,0.0238188887203008,0.00492474367406188,0.00423977673106661,0.0124121580865792,3.26842332111041e-06,0.000393516651054595,0.000166898580917524,8.53422417567517e-06,4.25457414431232e-05,0.000457507335197091
4,1,0,11.8966348898153,-3.20487709180355,-16.5564079468404,24.2715596945155,0.0528925179488909,0.341176148861329,0.0211254300740847,-0.133277032554781,-0.265817671848746,-0.0204794467237655,-0.0476036439797652,0.0252582231219702,0,0.00471076139028493,0.000368479022490224,0.000101394270591402,0.00506864380583376,0.000224611713367742,4.1117598582433e-06,8.38134826336864e-06,0.000193203971514001,9.77853233407127e-06,1.16080603952488e-06,0.000551247490169738
5,1,0,-0.518137885667598,-9.26502909116118,-8.17202662597101,20.3879594658062,0.675188766826725,0.0260989333362389,0.0400087529625277,-0.137423618868361,0.0912835827494555,0.00226554344438777,0.00754565637822057,-0.0111796504145665,0,0.00256271341032795,0.0110205094708501,0.00219451352323065,0.000832682020379433,0.00559726079043244,6.66495062485222e-07,0.0001739754309655,3.58486340459575e-05,1.64212141595728e-06,1.82885678470577e-05,8.72308908204626e-05
6,1,0,3.2169000138103,-12.1960307079786,-9.17159826071474,30.2410327757662,-0.0953333228141475,0.289066789597545,-0.103933529182474,0.0301502517156088,-0.101923197655009,0.0399689425663015,0.0164040995556774,0.0480289048833848,0,0.00726633417453163,0.00118441319132164,0.000298957664349262,0.00512362023162777,0.000706025952933774,4.07794534560832e-06,2.47656364189431e-05,0.000190574719554861,9.68649060639395e-06,3.05368912744903e-06,0.000545408575153074
7,0,1,-0.208799411372187,-0.296546167148936,-8.43347964335885,32.2419535234106,-1.19507392352608,-0.838276978015208,0.221090138055494,0.330484120317069,-0.0357397743479013,0.0472570035993401,0.0757540359372125,0.00662163901019848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1,0,-2.27763510865146,-2.38597003449808,-11.2806476658715,28.9933693914189,-0.0853235931858553,1.01865456677386,-0.0592855545919334,-0.124940443146942,0.0950366101543812,0.00821390060603661,0.0161452125243611,-0.0730900731987176,0,0.000602692983130755,0.0211230339253823,0.00433324613810733,0.00720827889698579,0.0109607429947797,6.22313899752798e-06,0.000345758251881989,0.000286253513106141,1.47133900725243e-05,3.69896280013751e-05,0.000872745441456466
9,0,1,-0.75001261431089,-9.16762737285713,-9.07330619129385,28.8249453332818,0.589789513085659,0.376483875023493,0.0844874691411591,0.135339392178486,-0.00988926191501189,-0.00134395282727871,0.0356203364578449,0.0379533676659979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0,1,-2.35415111171198,-8.98639870242801,-21.4766134388935,18,-0.500035952712385,0.223558779283176,-0.135409783720727,-0.0148936612041983,0.0644708864337875,-0.0483878870535086,-0.0296793176309388,-0.0261583541404923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1,0,-4.00894709570177,-2.19624709410693,-6.06410263487711,22.4626447684194,0.347155251353655,0.170163502935081,0.0334851616390735,0.170175257941518,0.3735285348564,0.0512195777116934,-0.0552932114945246,0.0184974133928963,0,0.00417348998173337,0.0317229405528421,0.00646305639359064,0.00131407663586188,0.0163815583292305,8.64135373648667e-07,0.000515206782729209,4.62756765844484e-05,2.35527806750331e-06,5.50140442796266e-05,0.000113569275849182
12,0,1,-6.23422165262213,-10.0539815349538,-16.0535443431128,18,-0.565637509396986,0.67714845019319,-0.0831626755020935,0.467874243325064,0.068210447202227,0.0350461167212795,-0.00509614892220646,-0.00975912540972758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,0,1,-3.91684003371412,0.804082723128029,-17.414676688232,20.7496675614908,-0.534612289471262,0.0841691608225631,0.264574778885365,0.376559826464217,-0.306427833630988,0.0121037647489708,-0.0228324491123266,-0.0377507076591521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,0,1,0.516901171496999,-2.35932197003047,-9.74440594235279,28.8425288363908,-0.467740268717303,-0.0763552998408255,-0.296768321842136,-0.0668901881316253,0.172587197946633,-0.0609363686327004,0.0136432731389105,-0.0471937031884424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1,0,1.09497127015295,-2.25145826337652,-11.3926433110402,18,-0.45553429318431,-0.0965106604116064,0.0125103218174404,-0.0333904847503239,-0.111915681944398,0.0463753068766791,-0.00678805376975004,-0.0270839101235448,0,0.00135881300359799,0.0192922116575907,0.00390476488123699,0.00117454715783133,0.00991340186283219,8.95568277979783e-07,0.000310740112535326,4.76013898117251e-05,2.44927554983679e-06,3.303587209701e-05,0.00012438266218765
16,1,0,-3.7932356260461,-0.377993326735978,-5.35497910333516,22.8771623619848,0.43578278621653,0.113262227694398,-0.0983189364633572,-0.142632182564356,0.0309523751123719,-0.00360679328826106,-0.0315901309740876,-0.0277277891331531,0,0.000433151980754093,0.00559944970204218,0.00106980659575817,0.00265217629262599,0.00275055890895671,2.17165026732669e-06,8.37717548056735e-05,0.000104346328589786,5.192762102643e-06,8.63387137129663e-06,0.000287805250537481
17,1,0,2.69564101474412,2.60831958449336,-11.5570019758522,29.1306385177107,-0.17497032948657,-0.0577513449752805,0.215517046593935,-0.0942339891432247,-0.356562984822168,-0.0449904047070708,0.0101525368447503,-0.00753257029237172,0,0.00291561517747274,0.0076467539451981,0.00162320174936846,0.00629402262483357,0.00408826366048525,5.22782561808021e-06,0.00013090557596194,0.000253524889767605,1.33836847425243e-05,1.4143305781784e-05,0.000751179634239273
18,0,1,13.7567013828336,-7.07538307967074,-11.2193450452547,25.2012535039259,-0.686914714900942,0.539593657418533,0.12984048141425,0.269279982436729,0.119995251410554,-0.123924251806083,-0.0337565231093827,0.0108835390965933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1,0,-4.07534471433575,1.4168522574107,-10.3311893235888,22.2625160779051,0.0340281239511867,0.256486868105266,0.199507897679541,-0.15602285631,-0.0997931161659965,-0.0251551869430796,0.0295971541883832,0.054895033013487,0,0.00114168241783648,0.00367318839740586,0.000676383776827412,0.00304233935169974,0.00175481069488029,2.7100252098376e-06,5.24232798697435e-05,0.000119144044185514,6.14109167608189e-06,5.28037933163769e-06,0.000372131692181465
20,1,0,5.27860509658621,6.7050688343159,-8.75362313278134,20.9914708036435,0.339873926972716,0.863189919020882,0.0883240459480302,0.162177994483715,-0.269391191537879,0.0199336121112811,-0.00537288972472728,0.0193148108116248,0,0.000901348239389365,0.0219543612561768,0.00446835421646921,0.00149919867465855,0.0113265709079201,1.22825952816781e-06,0.000356050943154133,5.78788694097031e-05,2.92101583487565e-06,3.79946671936802e-05,0.000161218782093492
21,1,0,6.38392129800192,-3.1970618842756,-2.47032582868347,20.283032133014,0.0204158467268847,0.153477815582341,0.186195752251027,-0.0563996748355362,-0.163340852246455,0.0494491611433721,0.012658626211979,-0.0667999595562879,0,0.000687321232576193,0.0248832619954644,0.00499956505852907,0.00130275583229247,0.0127085160562527,1.10845368407217e-06,0.000396987412236053,5.27904868755497e-05,2.6838280175811e-06,4.20927015111174e-05,0.000149568499932911
22,1,0,1.59961211087474,-8.50293398996043,-6.04542005842895,31.9358329240777,-0.091388937431933,-0.454196678423573,0.21413965564954,-0.0891345407543864,-0.142850303887896,-0.0440441007971082,-0.0512305807488025,0.00962650963250256,0,0.00257670535700469,0.0155071865782675,0.00322538385217995,0.00767970282493469,0.0081340501621993,6.49993704849725e-06,0.000258273426986005,0.000299465161137722,1.50693625731001e-05,2.78211306921712e-05,0.000886242435026595
23,1,0,-1.65873156920338,3.94242204422873,-10.2834698270995,23.9515676372488,-0.860732756972153,-0.387731953722981,0.0182264081116911,-0.0747254232789783,0.222537654835993,-0.0639289851482234,-0.00632500126865142,0.00399944204910692,0,0.00358090168688169,0.00470844092295943,0.000933691161491071,0.00310763317689651,0.00237782541615383,2.61208867472837e-06,7.38311281679891e-05,0.000125442424243719,6.58417040733345e-06,7.78825358407439e-06,0.000371015647891002
24,0,1,-3.61178798574285,0.560014137523419,-2,19.7480560702201,-0.175440758399606,-0.709540271522069,0.127049063807733,-0.210496242816306,-0.149783148678707,0.0496704405820486,0.0287427906465287,-0.0263883376692804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,0,1,5.08271552643392,-3.29548032163146,-9.46986324844042,34.1718338667884,1.12858166425521,-0.221575943798529,-0.00523790263879187,0.181355537574252,0.106030822657553,-0.00813399447456778,-0.00731187416231714,-0.0273677570624676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1,0,-11.3599022093989,-0.783258366526269,-15.9893430440528,23.8602977540849,1.23414970256945,0.0169430201075966,0.263462283708471,-0.193856246345696,0.222629427105173,-0.0584201568570052,-0.0097712685301726,0.0101492112139621,0,0.009157505703345,0.0206306808962367,0.0042649577173963,0.00519095361178005,0.0107334528874716,4.41947932168748e-06,0.000340471147353883,0.00021174035505994,1.09603417709629e-05,3.69283279554157e-05,0.000618597422881433
27,1,0,3.10051357617519,-0.621311634318679,-15.4111188441,18.9116189394575,-0.361078682500544,-0.509583078066055,-0.101069597645483,-0.165897680297184,0.216779911969649,0.00942183632260762,0.00989487033454235,-0.0292860654637241,0,0.000664936990544388,0.012969993546537,0.0026199309484744,0.00209709116077233,0.00664936374011592,1.68018754912105e-06,0.000208279650879566,8.42471863933638e-05,4.16217979852019e-06,2.21529072564699e-05,0.000220834099618116
28,1,0,1.38405798639551,1.61506080223881,-14.6802457621021,19.0541312668334,-0.967467741991744,0.43639663578667,-0.176653208090197,0.0081572975103128,0.0145055918093734,0.00318404883715702,-0.0222775412711242,-0.00790115645475111,0,0.000106432317100429,0.0144029126172168,0.00294955494117298,0.00219396077036709,0.00745967412653525,1.68427029946829e-06,0.000235274589070461,8.77443980859654e-05,4.42535015778696e-06,2.52297536160812e-05,0.000225310621283356
29,1,0,-1.53457364566122,6.74785450792852,-15.7809178119526,23.9704393258936,0.533201117143786,0.210534021706778,-0.189928362315314,0.138431052845641,-0.47155933633357,-0.0171946273533906,0.0547246964604917,0.0173995613121451,0,0.0075752109158857,0.0421105086602457,0.00864489429242821,0.00217235159718184,0.0218684352186507,1.59454526473176e-06,0.00069043328447865,9.12943297595461e-05,4.33082160687101e-06,7.40927020108644e-05,0.0002122673346772
30,1,0,3.95804161845822,-0.464765291399615,-11.9010820423591,28.479581799772,1.15852982630576,-0.134199552614365,0.250807428072883,-0.0941260554245859,-0.075061694434703,0.0227149465613734,-0.0314875761687548,0.032891625442282,0,0.00145445885453533,0.0129795125443421,0.00265825211991265,0.00780475994248214,0.00673496014714676,6.13384134756829e-06,0.000212142983140249,0.000313405231275324,1.57268811335218e-05,2.26085286420599e-05,0.000840978229683366
31,1,0,-8.41633260465096,-12.1037419008549,-10.794605305498,26.6444093582108,0.637701777875091,0.0598341608318486,0.166579311971227,0.0419856911367935,0.118594516703735,-0.0338164589614417,-0.00266711009007572,-0.0208668034052451,0,0.00281082993446395,0.00425459795246238,0.000910005935173463,0.00446840943181858,0.00226819399790337,3.81472459349866e-06,7.32071721755674e-05,0.000171467885601571,8.64741573640163e-06,8.10906324787094e-06,0.000509389577816629
