Run,Success,Crashed,RMSE_X,RMSE_Y,RMSE_Z,RMSE_Vx,RMSE_Vy,RMSE_Vz,RMSE_Phi,RMSE_Theta,RMSE_Psi,RMSE_p,RMSE_q,RMSE_r
1,1,0,0,188.845934422821,0.853476749781207,0.0723217321723201,1.08139568350713,0.0638812234498606,0.000351778185318441,0.00240186446249429,0.0341124960067903,0.000191282639911164,0.000147268225772314,0.000633159982867499
2,1,0,0,38.2460134338003,1.00114999498669,0.00649000505231783,0.603682462515455,0.0056692126594255,6.46212866913791e-05,0.00021295407155378,0.0450229043274944,4.83123356125647e-05,1.35048431299395e-05,0.00128559413564681
3,1,0,0,117.943456503929,0.426506735495566,0.0562149143991326,0.841174144008422,0.0461212630207948,1.73801458639686e-05,0.0017345507494618,0.0377068151824121,1.95580494571061e-06,5.23034594227682e-05,0.000837818759956717
4,1,0,0,322.978125646954,1.39975876702539,0.741711973992438,1.34226252167907,0.504616727760503,0.000155138297145567,0.0184278575466513,0.186833640913487,5.23592383098177e-05,0.000383923712688771,0.00258761398977978
5,1,0,0,280.930644481693,0.869739777967611,0.325210029108806,1.19706786696939,0.231093227835711,7.08696258212762e-05,0.00856737152199328,0.11236371317537,1.77046741703496e-05,0.000251330522081447,0.00177261540364288
6,1,0,0,126.083313550501,0.328873191159236,0.0623828498148957,0.852646157564844,0.0504284344120939,1.88398727363184e-05,0.0018531138282636,0.0406017856878891,2.19962781319482e-06,7.0074226388644e-05,0.000893323867561816
7,1,0,0,93.966501246041,0.186664409842356,0.0311646883017635,0.726957410903964,0.0273292043734347,1.14904964811036e-05,0.000995162382676606,0.026136695330863,9.86727341711521e-07,2.96137507989098e-05,0.00064786222682773
8,1,0,0,33.8113138807787,1.68219733957144,0.107435731725469,0.950280520368841,0.0787160899013382,0.00248056500374256,0.00287347248334199,0.121556816066735,0.00102010012928057,0.000114018234865384,0.00395772158528754
9,1,0,0,454.362216601099,17.0778859780806,1.56895434756196,1.52398213621094,1.02682303429923,0.000124253456098104,0.00254210410606425,0.287812965944978,2.14945779018121e-05,0.00088799292077985,0.00337560127298511
10,1,0,0,298.927061763311,1.48517938914247,0.431336595440356,1.23730275220414,0.300941366422733,9.18404944513451e-05,0.0111408981702938,0.134978493741562,2.55614648508278e-05,0.000266660024692862,0.00205551700569548
11,1,0,0,36.0867364250377,0.225993227941189,0.0168299393075224,0.293469837935018,0.0121237213786963,1.17510911585995e-05,0.000433557225755428,0.0282006935403625,8.56324169736407e-07,2.93350918079904e-05,0.00101073180662218
12,1,0,0,219.884349455427,2.34954022918249,0.0634948799434862,1.8465694777398,0.0972432871388799,0.0107277067809823,0.00274762971616191,0.0174834829384071,0.00248665221654291,0.000162235916143325,0.00267358672903889
13,1,0,0,72.608140493664,0.0294381308047723,0.0135841627552418,0.626859986229529,0.0140762718361268,6.04526744435893e-06,0.000536038316149414,0.0142160261764108,3.89101266447052e-07,1.71173548998566e-05,0.000384098395019299
14,1,0,0,256.272545076017,0.0706835836620248,0.247957009574806,1.13109873777553,0.178712669869913,5.57851583771615e-05,0.00666402782123797,0.0958320378810979,1.23630878475213e-05,0.000186437294958247,0.00161184774771786
15,1,0,0,7.89557985418936,0.014348952714402,0.00702722418459931,0.145844386642388,0.00487949696863628,9.55995950485182e-06,0.000185584038545422,0.0234319332034712,5.14169740436187e-07,6.93612506234666e-07,0.000864172516401688
16,1,0,0,175.697294180215,0.664745698158297,0.127004736344168,0.985696949036197,0.0958367927613307,3.2503824975908e-05,0.00359292213774948,0.0638369109004358,5.3849918404205e-06,0.000101603719040302,0.00123618925228146
17,1,0,0,193.978064355584,0.566295237765602,0.205239526328029,1.06728618279804,0.149072603080989,4.82550451314204e-05,0.00552690707996372,0.0868216058357393,1.00333318559444e-05,0.000154651002066961,0.00155804358585272
