Run,Success,Crashed,START_X,START_Y,START_Z,START_Vx,START_Vy,START_Vz,START_Phi,START_Theta,START_Psi,START_p,START_q,START_r,RMSE_X,RMSE_Y,RMSE_Z,RMSE_Vx,RMSE_Vy,RMSE_Vz,RMSE_Phi,RMSE_Theta,RMSE_Psi,RMSE_p,RMSE_q,RMSE_r
1,1,0,-2.10535567592298,1.05851181052416,-15.9885844326419,18,0.58717558637115,0.374570316032609,-0.00603537501280947,-0.0903342941554208,-0.216810620063965,0,0,0,0,0.000847427170586412,0.0150610116870337,0.0030736655382349,0.00198661628857626,0.00778102135059697,1.52168310888043e-06,0.000244978266357481,8.04828269796884e-05,4.04909925528508e-06,2.62131767936049e-05,0.000204480371190798
2,0,1,-2.78532367119736,7.47447257358926,-11.1991072514771,27.8478622931831,0.0472112017237527,-0.667827891866538,-0.298666224255686,0.18340245189792,0.0388666124348267,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1,0,14.2361049583624,-0.748815336812097,-6.74447555087279,25.7345514189645,-0.323987276158319,-0.408239913265017,-0.175593733000693,0.176707480869369,-0.097423289247755,0,0,0,0,0.00182009995291442,0.0201387019539012,0.00414763055569611,0.00218094437341502,0.0104785224532556,1.72863937760707e-06,0.000331381413206852,8.93106091045569e-05,4.38510442749737e-06,3.56309370438691e-05,0.00022622229306019
4,1,0,-4.84577970265361,-0.874205484782709,-13.3846716700647,24.4326438263893,-0.933929889802174,-0.598003442998693,0.0106237886396314,-0.134904938179548,-0.112528348409819,0,0,0,0,0.00164189905474441,0.00332645546300104,0.00068275605732206,0.00425070980125143,0.00173367741627821,3.82949782048854e-06,5.46122951772551e-05,0.000170665632450166,8.6500270071254e-06,5.79407066449773e-06,0.000525694749976437
5,1,0,9.24232921610007,6.41123218521984,-11.1169072797352,18.9795583063566,-0.471103655900929,1.10706109899117,-0.0228462698276186,0.0467973335496385,0.00507556373959815,0,0,0,0,0.00199602045447575,0.0149830415983728,0.00304035885294924,0.00115067549607165,0.0077139769313843,8.22538789413751e-07,0.000242101767440892,4.28661167111271e-05,2.1712004519625e-06,2.57713550137661e-05,0.000107940834459007
6,1,0,5.65173661311297,-3.8487531544133,-13.6990854321016,18,-0.763699174265411,0.134735087013954,-0.0153190972042772,0.134295804599304,-0.0895445441654264,0,0,0,0,0.00196152132022917,0.0255763168112137,0.00525833721271653,0.00111647604843427,0.0132929037116118,8.62839383434107e-07,0.0004199995762101,4.41919106818641e-05,2.2848904067439e-06,4.51071315651191e-05,0.000119530332968953
7,1,0,2.28255439985588,3.74647378254736,-2,24.5681853409068,-0.0920529472351353,0.0441149194559208,0.0129515558659794,-0.0298271114838414,0.327253716759055,0,0,0,0,0.00526303058345948,0.0189774090414276,0.00379844770047797,0.00223820360102982,0.00966487315537623,1.65904441316376e-06,0.000301324031382165,7.88828807917814e-05,4.00716931211393e-06,3.18674544810888e-05,0.000216138138460155
8,1,0,6.19309993952592,-2.59436557619756,-5.86194772452048,31.2199167848494,-0.466671814137981,-0.536264715714977,-0.0602854434508798,0.0401508211979687,0.0208582453433463,0,0,0,0,0.000994737732155104,0.00581595414561728,0.00117011708546863,0.00158973852768101,0.00297425344848759,1.31752419583388e-06,9.29417700706516e-05,6.43251169239497e-05,3.36058768336435e-06,9.84090810861578e-06,0.000187542169162427
9,0,1,-0.518694527980903,0.98178678451248,-14.7679490784376,20.6036899770099,0.173434702505196,-0.0992293390616397,-0.0725539993317945,-0.298977212638109,0.0366406556952518,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1,0,1.90206269129978,-6.9634452769348,-11.0051985874549,24.8698577031018,0.405419796901948,-0.370249241703577,-0.111792765457371,-0.142284947850617,-0.310763095288417,0,0,0,0,0.00937603433049392,0.0133004556428658,0.00273131954848978,0.00348485452854121,0.00689583192538818,2.68607792618972e-06,0.000217880449141125,0.000140221313110584,7.06288448890269e-06,2.34544750505229e-05,0.000376904607982806
11,0,1,0.322981234700544,1.56227614420749,-14.0183086023868,20.2287092116928,-0.589962540218939,-0.0988989648759064,0.185990270791164,-0.493601379211078,-0.395668906461243,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1,0,5.19354432294641,-3.59232293183706,-10.3204670378965,30.8911738715576,0.76163857454587,0.0151296711682694,0.114744635493358,0.0329313221841188,0.082605183991468,0,0,0,0,0.00041116960459049,0.00369404962649626,0.000683925509209102,0.00546840928653446,0.00178851209452219,4.76361761664437e-06,5.33589397901592e-05,0.00021634956143814,1.08044964832711e-05,5.26139269140204e-06,0.000641754806532493
13,1,0,-1.84842658632659,-7.53248776815149,-7.15660958713868,28.1272620209211,-0.201373858159408,-0.284432054378775,-0.253809081423053,-0.0936969695043908,-0.104448989977602,0,0,0,0,0.00798896669824079,0.00802434095193412,0.00164083450379432,0.00550305632562744,0.00413301735223012,4.45195532373777e-06,0.000130504917747668,0.000228331391157081,1.12216385611475e-05,1.41237887800648e-05,0.000600669492533498
14,1,0,-1.88475591119127,8.24262988087538,-8.23271833321662,22.9849923542825,0.148885056655391,0.146306358132495,0.203145731752014,0.151192400600465,0.173613271261856,0,0,0,0,0.00611703483512129,0.0265395551556302,0.00545126813568687,0.0022070708575529,0.0137806194154095,1.55949839336442e-06,0.000435252201861764,8.30951661176152e-05,4.27120443473254e-06,4.67466229306592e-05,0.000213464620201419
15,1,0,0.819344265639677,1.82359495990926,-4.69153582094251,25.4441260671429,-0.780127947957628,0.0854383381363725,-0.164350094599698,-0.0131104521850285,-0.0841596544677411,0,0,0,0,0.00129480543059514,0.00576381704628523,0.00111666165684253,0.00316742041746216,0.0028669104238846,2.71473191085299e-06,8.78897506151824e-05,0.00012791940003843,6.73764681386896e-06,9.09242991101662e-06,0.000384756075944513
16,1,0,-3.45928654184014,5.66513138220789,-11.9183217546298,24.9987923329044,0.0362465692537124,-0.714880842544712,0.203842524208741,-0.0257093539652473,0.139813265729941,0,0,0,0,0.00581335833576898,0.0112088995153726,0.002342472120505,0.00491280852466454,0.00587993034238816,4.15595920127978e-06,0.000187515130171733,0.000184168905849949,9.4190422622751e-06,2.04520802545582e-05,0.000556010314491478
17,0,1,1.35737971536811,5.64563731270095,-13.7078665968427,18,-0.257049806680634,-0.319563446833465,-0.211986640245436,0.199099862846083,0.163745980508491,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1,0,4.11832995420641,-9.08380467271913,-18.6728539179108,32.7877254792816,0.0405837955703033,0.261802692972968,-0.0598322141165695,-0.299267358043068,-0.00976393950512074,0,0,0,0,0.00446638510024568,0.0407705884308567,0.00826455612706765,0.012972414623989,0.0209684767735114,1.09320812207297e-05,0.00065735143881253,0.000524325795691102,2.74586846129237e-05,6.97561160657442e-05,0.00158914247972093
19,1,0,-1.32962329698524,13.4091061368554,-15.7736625193482,23.0832451232727,-0.483238668959197,0.991688670192091,0.123364087100563,-0.212469648589612,0.0561313214262188,0,0,0,0,0.0066868560811305,0.00387678204792108,0.000812670303165988,0.00464704122107423,0.00205425098433534,3.91659995601143e-06,6.53636233123293e-05,0.000187798725629274,9.85684746822954e-06,7.00570124708994e-06,0.000561127718844092
20,0,1,-6.44365582939408,-1.59597276680588,-2,26.6910455281105,-0.538473510049806,0.117871488206622,-0.117466622250383,-0.178366922824149,-0.162231468345698,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1,0,0.581658609079137,3.8747209762841,-10.3618820662305,18.5349096784712,-0.380690658151752,0.886323571487305,-0.114482561358353,-0.0793921809614567,0.219173036232914,0,0,0,0,0.00199924929281421,0.0192706200911074,0.00386545443756116,0.0013338732863903,0.00983531641097459,1.13060163955075e-06,0.000306908489214222,5.57306540673157e-05,2.69764877587357e-06,3.24596901733201e-05,0.000148829497227014
22,1,0,-6.64163849242095,3.52614138419802,-12.184818049135,21.3768486825865,0.482176273753769,0.0703511922490748,0.0576204267853896,0.0587237518857916,0.037808877134732,0,0,0,0,0.00161217820428683,0.0128060656641286,0.00263518480586687,0.00181433360490457,0.006657121797313,1.51877002177104e-06,0.000210453898154208,6.93962134973186e-05,3.54344530763031e-06,2.26238555863703e-05,0.000203574185484775
23,0,1,-4.27616855576337,-5.79272491489808,-7.38142612485085,22.2813949691421,0.837825558550245,-0.148162929442711,0.0664898387641518,0.327683023875382,-0.00808871723538883,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1,0,1.78227963639951,-0.960950489625042,-2.344116228561,26.2785382955391,0.582196972591277,-0.179293851507825,-0.281465212053025,-0.00531579087562319,0.20989680321692,0,0,0,0,0.00114231519027509,0.0109748815158223,0.00216928858697262,0.00353818873435884,0.0055320403409507,2.80328069599411e-06,0.000171440751154258,0.000142586765618022,7.14523636249393e-06,1.80287877900433e-05,0.000375920804547654
