Run,Success,Crashed,RMSE_X,RMSE_Y,RMSE_Z,RMSE_Vx,RMSE_Vy,RMSE_Vz,RMSE_Phi,RMSE_Theta,RMSE_Psi,RMSE_p,RMSE_q,RMSE_r
1,1,0,0,65.8553936672665,0.00788260567971149,0.000622566286923185,0.539145675270906,0.00434405222184957,5.74971935014272e-12,0.000191802888664208,1.26682630063197e-11,5.27155528314701e-12,9.0659238706752e-06,1.16229317881027e-11
2,1,0,0,27.6317543089209,0.00247340628127082,6.63227385693292e-06,0.339390623418335,0.00153003894398631,9.76903568794431e-18,6.56954375892805e-05,5.95085435745258e-17,1.56510914471726e-17,1.9941251201481e-06,5.47316640871971e-16
3,1,0,0,13.352992235497,0.00157796728582447,3.1548652027751e-05,0.204242382312034,0.000517612824488813,1.14239210216417e-18,2.59049007726944e-05,5.74889460704233e-17,1.60077208855061e-17,9.74077333946347e-07,1.11603724331345e-15
4,1,0,0,23.7423534755229,0.00206150551872659,9.52170329858083e-05,0.27722045735086,0.00094360617448395,1.29165681272386e-18,4.32743795005393e-05,6.02379858737346e-17,2.44766070032274e-17,1.40856523379289e-06,1.65654794403073e-15
5,1,0,0,26.0502057963445,0.00109753871771641,0.000368215493206216,0.317779799063077,0.00160547128552223,1.2604551200874e-18,5.91150211437677e-05,6.26787310612985e-17,3.13245621280452e-17,8.49732332883753e-07,2.27069288621609e-15
6,1,0,0,3.61236048576014,0.000149015418845614,4.96812830709384e-06,0.125324297554755,0.000205828454145477,9.35914830002897e-19,7.61543743111608e-06,4.92101410157231e-17,1.69694104689963e-17,6.50731993112963e-08,1.07810827023821e-15
7,1,0,0,17.20776718538,0.00188331576028462,7.89432618722087e-06,0.267793417021852,0.000940574543274491,1.06625453681588e-18,4.22522003652568e-05,5.31332041561444e-17,1.70413904227562e-17,1.28287771778138e-06,1.00064720886066e-15
8,1,0,0,10.6878222485037,0.00285604184424024,0.000221125854410755,0.291973357890983,0.000963441188934556,1.08498294976442e-17,4.80515782058876e-05,6.16805758724515e-17,2.86918404444825e-17,1.94979105825254e-06,1.85724721920791e-15
9,1,0,0,32.7781438217731,0.00231982546486931,0.000550328853811278,0.406905146837065,0.00260143320121028,2.76885634332104e-16,0.000101231386055055,6.13497410567489e-16,2.84196230554992e-16,2.53922286602102e-06,1.11091550471015e-15
10,1,0,0,42.3354478068504,0.00532616873725817,0.00080040366125682,0.493350285196424,0.00275098279241448,3.32843071360812e-13,0.000123190186763812,7.28740265579697e-13,3.18097439251066e-13,5.46759123525447e-06,6.97389330247779e-13
11,1,0,0,33.9884888475559,0.00400908857579001,1.49258640704366e-05,0.412265982982142,0.00227478980344864,2.30066211769197e-16,9.94643342519885e-05,4.98687143883844e-16,2.35513209221087e-16,3.68794884537116e-06,7.50314989251314e-16
12,1,0,0,111.82162657082,0.934085277866828,0.0299190360702922,1.17019800219712,0.00156042171316765,0.000317520073396957,9.90675259875203e-08,0.000490314729816957,0.000139685204861753,1.31610918028584e-07,0.00018624874497727
13,1,0,0,16.5856311286726,0.000838152815471412,7.32877647061266e-05,0.221602900655086,0.000598783715904423,1.01176813226782e-18,2.50278260464236e-05,4.17749619649249e-17,2.16469138636337e-17,4.89561885772535e-07,1.52727913508644e-15
14,1,0,0,14.7012064648373,0.00131656853259906,0.000180238776238698,0.283732034044857,0.0012176166197765,1.80914527156579e-18,3.99018793101565e-05,6.36347158399732e-17,2.80971855464942e-17,8.85669164699214e-07,2.06257086213465e-15
15,1,0,0,34.9904053412235,0.00406337533124365,0.000257322959896175,0.433616032285235,0.00234866378138626,2.22836881088891e-15,0.00010225566458771,4.81133359108225e-15,2.24020184550082e-15,3.88391161570969e-06,5.06360154481009e-15
16,1,0,0,15.5789096926155,0.000717957557416252,1.06757285772545e-05,0.261430708009939,0.000908818736147987,1.19739583414454e-18,3.43432225541086e-05,5.31690965207981e-17,1.33434594562205e-17,4.53673141329592e-07,7.15758647686776e-16
17,1,0,0,79.622632288213,0.00962609786121684,0.00270724919455647,0.584773795344304,0.00644207554831236,1.42552287297558e-10,0.000278130633865964,3.15050994387062e-10,1.24884639740361e-10,1.37633698364579e-05,2.758576297889e-10
18,1,0,0,36.2660933305496,0.00436587673481636,0.000166941431002579,0.444904884857746,0.00254483103080824,2.8564599032755e-15,0.000110578712896306,6.18745230018768e-15,2.84692003562516e-15,4.2759752999581e-06,6.22885095615911e-15
19,1,0,0,92.7412803819999,0.012965887549349,0.000992478533415227,0.67438678386407,0.00561440406751852,1.92591180845844e-08,0.000261898420194271,4.23248795865788e-08,1.53082365137086e-08,1.59446726777297e-05,3.34871569130757e-08
20,1,0,0,79.769120837591,0.0116704533539911,0.00200223331780304,0.716802786362352,0.00586297338410409,1.16776804371524e-07,0.000263680883079111,2.54231387140625e-07,8.8048537358881e-08,1.63378348705946e-05,1.90100439676189e-07
21,1,0,0,23.229144264375,0.00183293207035935,7.75976242580584e-05,0.338227093321045,0.0014753997848488,1.3832994925132e-18,6.02770336805457e-05,4.77666024338505e-17,1.66918318068131e-17,1.52989731798712e-06,1.04906905043391e-15
22,1,0,0,41.3181530443981,0.00482966293765078,0.000907670759956074,0.494614164471425,0.00270437896115299,5.13989810979844e-13,0.000119092979899354,1.12563241949614e-12,4.9067120863823e-13,5.14232988781924e-06,1.07603536487405e-12
23,1,0,0,57.4690078927497,0.00587905371012362,1.1492619677089e-05,0.580685613183212,0.00465125233118002,1.80624090406892e-10,0.000189923392950935,3.99271884195753e-10,1.5869040133107e-10,8.28355207552576e-06,3.50753879485778e-10
24,1,0,0,7.78377287874821,0.000431970904320944,2.44820045996373e-05,0.116643563317294,0.00015954033996487,1.22171126940299e-18,7.69175647681886e-06,6.39994129519839e-17,1.84201923386521e-17,2.23087976316771e-07,1.08567686685054e-15
25,1,0,0,8.6124706173401,0.000351213405681171,1.27144394920634e-05,0.0156108577649337,1.25685144957398e-05,9.28491470370635e-19,1.57519560263465e-06,6.00315663644939e-17,1.88860409760328e-17,2.2075502251049e-07,1.1418294736112e-15
26,1,0,0,52.7136988287547,0.00601886483676168,0.000872072384326883,0.513713734017068,0.00415280314520885,9.80225129086915e-13,0.000175510804995259,2.15286427926586e-12,9.20556612824796e-13,7.27944942587206e-06,2.02400267365971e-12
27,1,0,0,17.3332036567683,0.00141403567262575,0.00011644857543157,0.27300801209293,0.00106272125736238,9.64444192013198e-19,4.40646088285717e-05,6.05780221290756e-17,1.71093903159257e-17,9.86722655823562e-07,8.90975006846815e-16
28,1,0,0,33.0178827670971,0.00403149236716134,0.000133746545832072,0.418137661044041,0.00242451929925372,6.28775877122901e-16,0.000104784864810629,1.3533012846156e-15,6.39935851168831e-16,3.82464340657962e-06,1.51802040063351e-15
29,1,0,0,40.5279485020458,0.00542701635360606,4.99414982110321e-05,0.444074029378087,0.00266036221212075,2.97000153273333e-15,0.000120302193714141,6.43229327991253e-15,2.96312195594558e-15,5.09466012628399e-06,6.47242037783379e-15
30,1,0,0,29.9132792510224,0.00326089249572852,0.000273030102538822,0.38436067430277,0.00214959984212499,4.28387249742033e-17,9.13602300417194e-05,1.09309982071607e-16,4.62275665392462e-17,2.98329264245545e-06,5.98613451966368e-16
31,1,0,0,3.46660028327839,0.00104286018394559,1.36675342887446e-05,0.0722536910146903,8.75746013809739e-05,1.06578607646455e-18,4.06867539434252e-06,5.63741843493889e-17,1.82087997942609e-17,8.34172193504523e-07,1.13723850344174e-15
32,1,0,0,7.7048889774644,0.0030960719239149,6.85179254538578e-05,0.118481555757148,0.000123698921897991,1.01101366268943e-18,1.95329855652571e-05,5.66418379709017e-17,1.860678381383e-17,1.9955748947049e-06,1.1252784681485e-15
33,1,0,0,61.9720698599643,0.00741821558311595,0.000653313842142123,0.546531026676598,0.00448900112297584,1.0414406954987e-11,0.000194222850266541,2.29643442337776e-11,9.47983716238461e-12,8.93365717945558e-06,2.09160188495124e-11
34,1,0,0,46.9897584087645,0.00479305879691945,0.000416447126444373,0.470331905975741,0.00270130978954139,8.72649516645675e-15,0.00011828138691572,1.90378538750485e-14,8.51215592339025e-15,4.85470739100225e-06,1.86370458457597e-14
35,1,0,0,10.1183226314592,107.828980583403,3.85536458971972,0.143343339658966,2.38853747532371,1.17367079397108e-18,3.48789265441838e-10,1.18693634507859e-16,9.02492047483405e-18,6.56883526316415e-09,3.40436447317958e-16
36,1,0,0,37.7410837058688,0.00481379453932839,0.000246402042456646,0.408784025793393,0.00237831899756912,1.45917530604643e-16,0.000107475283176897,3.13266226218753e-16,1.49984230466803e-16,4.33077484040472e-06,6.5301980998121e-16
37,1,0,0,35.8963479310464,0.00223443976976312,0.000454360709862509,0.369166974311522,0.00212745200158099,1.60099682304105e-16,8.50761356469617e-05,3.31975449832363e-16,1.69679900573204e-16,2.14218518178869e-06,1.31644434346389e-15
38,1,0,0,51.5926167466293,0.00717638175021369,0.000203699216816109,0.503722231508364,0.0035422092992515,3.53715650477228e-13,0.000160069641707112,7.75542506618616e-13,3.35351227183358e-13,7.44454761811356e-06,7.36114306339273e-13
39,1,0,0,31.9506754271585,0.00311767141808174,0.000542727980755713,0.441934741125117,0.00227538554813567,3.19243685982537e-14,9.47278908812485e-05,6.91547387207409e-14,3.18888393462598e-14,3.29194465729621e-06,6.92251249399167e-14
40,1,0,0,17.3005451165323,0.00162299330675985,6.09823072620341e-05,0.256533153559863,0.000822327651927943,1.09430312927678e-18,3.68115280959196e-05,5.39758747624784e-17,2.72138798475194e-17,1.06715827436543e-06,1.93747675233512e-15
41,1,0,0,51.2818626873807,0.00574784444447779,0.000911442608628875,0.493946991154715,0.00389651185719545,1.53406711250572e-13,0.000165452607294633,3.35839472845044e-13,1.46688381370749e-13,6.70656766584788e-06,3.21512946239275e-13
42,1,0,0,17.3758584325969,0.00117358225070479,9.69386826986406e-06,0.268092250684347,0.000946220734719169,1.21524785897893e-18,3.86829193443277e-05,4.57461469730667e-17,1.74034506301648e-17,7.9307238949505e-07,1.01798045098741e-15
43,1,0,0,45.4439448588401,0.00510930780370602,0.000818303292409856,0.491555302325948,0.00381201902972744,1.96196128529085e-13,0.000158815587930576,4.29349503406093e-13,1.88022110630527e-13,6.1028342175565e-06,4.11989360308411e-13
44,1,0,0,43.4009835324612,0.00256268440675614,0.000121707233255922,0.401808792107227,0.00209054859291347,1.06399246454752e-14,8.51208829143762e-05,2.28119918376982e-14,1.09634546029567e-14,2.52660747283709e-06,2.35707676125042e-14
45,1,0,0,16.6594420298194,0.0020391117822897,0.00016430182015901,0.273685095391533,0.00114310682443033,1.54876449927312e-18,3.37824611727982e-05,5.8810531894667e-17,1.11867717575092e-17,1.43519027386949e-06,4.97592188295412e-16
46,1,0,0,34.6146434667713,0.00230867514453007,0.000242381744273436,0.377773693078601,0.00207541941858647,1.67048341605317e-18,8.33919149982323e-05,4.2839133300249e-17,1.18387823650262e-17,2.20515792276924e-06,5.48027277589944e-16
47,1,0,0,2.41367496648482,0.000913442116897727,2.11157597762202e-05,0.0763268366333322,0.000101294315233797,1.16476958301797e-18,2.87222853076968e-06,6.22936387499694e-17,1.74118331564614e-17,6.25472037141055e-07,1.04277842029234e-15
48,1,0,0,36.764533861392,0.00248662726288563,0.000684102252456667,0.414760912912029,0.00277860676280713,3.20554517234786e-16,0.000108477102407034,6.93114165877431e-16,3.27383783526961e-16,2.80817372040778e-06,1.00136190678962e-15
49,1,0,0,4.0479596872936,0.00126639839098523,1.06266959383382e-05,0.0400175258377541,1.57876858179598e-05,1.00233948688954e-18,7.18394914156377e-06,4.93141312064532e-17,1.71691795143806e-17,9.17556937280112e-07,1.15361002527943e-15
50,1,0,0,10.2468677427798,0.000245922861672536,1.1292170564585e-05,0.156055062048339,0.000331114423907067,1.15314288935585e-18,1.23715109322368e-05,5.60212059885631e-17,1.81238862189457e-17,9.99635520843273e-08,1.06066343344693e-15
51,1,0,0,44.4659716108334,0.00395148229739631,0.000590137322348294,0.476121650797473,0.00346702674696875,5.29495192404587e-14,0.000140051276952748,1.15555259234817e-13,5.14130750473044e-14,4.78920870684137e-06,1.12364753927393e-13
52,1,0,0,56.2124487281686,0.00731965678835541,0.000762113401367851,0.53119549231917,0.00432250072972639,4.34848109278001e-12,0.000188227007056186,9.57233252992534e-12,4.01781032853947e-12,8.56947833316743e-06,8.85180571293794e-12
53,1,0,0,90.6616872136601,0.0106383847681829,0.00265595791101324,0.614002372021481,0.00691078372758846,8.3593377842121e-10,0.00029915844685086,1.84742889175589e-09,7.10074325863972e-10,1.54813553310044e-05,1.56681202445044e-09
54,1,0,0,79.7306192668713,0.00992040460535408,0.00303509671584004,0.60371282726385,0.00698488831583666,4.40067735744699e-10,0.000299226434265965,9.72770962513547e-10,3.78000011881977e-10,1.50025765757922e-05,8.34584409624001e-10
55,1,0,0,34.3141023597115,0.00399025291286383,0.000525965799550477,0.426018238574766,0.00207667529693996,5.23981919481052e-16,9.27618046615941e-05,1.14096791846027e-15,5.30552001630621e-16,3.65816868577741e-06,2.25397855813149e-15
56,1,0,0,48.5569801106153,0.00378766484392089,0.000671833870022227,0.482665738049412,0.00361455709921016,6.93540566339578e-14,0.000144065893088276,1.51556951110285e-13,6.69565470907866e-14,4.80085151552975e-06,1.46514660375326e-13
57,1,0,0,23.1127555481077,0.00161123653380492,8.61259792144722e-05,0.199150976491095,0.000453098017017623,7.98311667750451e-18,2.38097041803348e-05,6.47796880317399e-17,1.93599890942681e-17,9.76320635345826e-07,9.84421446223485e-16
58,1,0,0,50.4987558854726,0.00454605899506348,0.000365437337507809,0.489600793195163,0.00300472101910724,4.21183104254068e-14,0.000127159802412491,9.21595288580341e-14,4.03987229148506e-14,5.04004730268381e-06,8.8534967116567e-14
59,1,0,0,37.1235695573161,0.00434665713855238,0.000532613256808608,0.484495622306975,0.0028242566420478,3.26476826340771e-13,0.000120042886236206,7.13676536243619e-13,3.14527974788267e-13,4.75691581753288e-06,6.88512465774695e-13
60,1,0,0,53.4724163763591,0.0064952447913282,1.91878672855442e-05,0.500623649957249,0.00338042366893262,2.9039793367236e-13,0.000150719007389177,6.36404463910177e-13,2.76108403929193e-13,6.77915319772075e-06,6.05834169978281e-13
61,1,0,0,36.7469474778722,0.00314322112308568,0.000215077169155458,0.413862174822266,0.00244386244967807,3.89017097265904e-16,0.000100578303796808,8.59736643664315e-16,3.97089560533587e-16,3.1667534675033e-06,1.01889262125841e-15
62,1,0,0,40.9512044872133,0.00399623073496882,3.51434071110034e-05,0.454269128220722,0.00275888971751554,9.14897248771122e-15,0.00011582889974119,1.98622449374096e-14,9.04725166450727e-15,4.206807771549e-06,1.97084275788849e-14
63,1,0,0,51.6010744590759,0.00668725031071288,0.000557908838414876,0.507866083845739,0.00384704542519009,5.48619152298311e-13,0.000168260575721228,1.20377205504889e-12,5.1803338612832e-13,7.43172820743419e-06,1.13795297687627e-12
64,1,0,0,7.61178699315108,0.000714427481430822,2.39305962633497e-05,0.0556444939362112,6.41375901668588e-05,2.034149979074e-18,2.25909109515132e-06,5.45737984115758e-17,1.72066402110884e-17,4.60413042883641e-07,1.15949863834114e-15
65,1,0,0,38.3972920046495,0.00382183697854916,0.000119803499750351,0.426822357346331,0.00236220898112471,1.80364778179322e-16,0.000101395566889561,3.93070281983605e-16,1.82953816305249e-16,3.68150263972853e-06,9.2631261652943e-16
66,1,0,0,34.8852000779559,0.00273966702732509,0.000400393591245004,0.435782711774806,0.00283911910839153,3.28518129323792e-15,0.000111402611596431,7.09845672584186e-15,3.29775548659197e-15,3.15554969457486e-06,7.16597652932189e-15
67,1,0,0,31.0093490965194,0.00292217630843357,0.00067242219122177,0.411134115823612,0.00271988626203189,2.78496338674529e-16,0.000109358924860972,5.81590189361583e-16,2.85121925461482e-16,3.1467731958551e-06,8.96134361758486e-16
68,1,0,0,34.3046703673739,0.00370381605532422,0.000390769193199057,0.413226862485777,0.00202107063769345,9.69163915542724e-17,8.92050229627187e-05,2.15574468758509e-16,1.01122869402745e-16,3.35560277023031e-06,1.51881449155588e-15
69,1,0,0,90.2661727132604,0.0124704641303178,0.00184082343769937,0.691744556791504,0.00541578490655107,4.32655392601754e-08,0.000253056056299163,9.47395793521892e-08,3.36015761859476e-08,1.57651798747272e-05,7.31323469067542e-08
70,1,0,0,50.1112870045328,0.00521576798100609,0.000315687576852851,0.51269854459726,0.00336033675000624,1.95990314263297e-12,0.000142890338535478,4.30464051807324e-12,1.8407803688911e-12,5.96876096959525e-06,4.04779381343829e-12
71,1,0,0,48.2622879587991,0.00632543538118171,0.000294449131326379,0.512861357281782,0.00335844414029619,1.40521067186639e-12,0.000148958567845466,3.08572599462415e-12,1.32081432024241e-12,6.74174831386991e-06,2.90374860052883e-12
72,1,0,0,48.7853942936972,0.0057915234359584,0.000398326960492777,0.488347603666957,0.00347610148976261,8.08596775540731e-14,0.000150511450244188,1.76832635711205e-13,7.77112617481226e-14,6.28509709832535e-06,1.70173266391552e-13
73,1,0,0,55.3030265135979,0.0090463910169987,0.00272035221027709,0.742824386293042,0.00601391061292372,2.98327902815511e-07,0.00025475493265741,6.44496567799925e-07,2.17879036376925e-07,1.54407053533442e-05,4.65497462158695e-07
74,1,0,0,47.3958303295201,0.0047326412911708,0.000869780384614799,0.47125550643747,0.00357251072374236,8.70691670199126e-16,0.000148775254056516,1.89996324026715e-15,8.48866066416639e-16,5.49260038534295e-06,1.98191873644368e-15
75,1,0,0,15.713506144501,0.000423133051072743,7.15310914420738e-06,0.172424342812596,0.000397176495153576,1.46154217547736e-18,1.58523740966778e-05,5.07411731792154e-17,1.67438909414506e-17,1.81750156246309e-07,9.59025897332832e-16
76,1,0,0,31.7690382959573,0.00391662718626707,0.000604644077290713,0.428947808340688,0.00286897580686662,3.16234030186983e-15,0.000119926840305767,6.82028505907106e-15,3.19218276697699e-15,4.10309315055625e-06,6.93117517925263e-15
77,1,0,0,35.2837240787537,0.00511626749076389,6.39643515848626e-05,0.442053159238397,0.00256709096093321,5.03585784379039e-15,0.000115395529030204,1.09210210409115e-14,5.03282023297064e-15,4.79474374922032e-06,1.09241475702673e-14
78,1,0,0,59.4494120739294,0.00742392904490307,0.00116714489015202,0.600418629127774,0.00417977860584416,6.6841080136681e-10,0.000183179239767313,1.4777628584375e-09,5.74733570783613e-10,9.32040432655746e-06,1.26970388506322e-09
