Run,Success,Crashed,START_X,START_Y,START_Z,START_Vx,START_Vy,START_Vz,START_Phi,START_Theta,START_Psi,START_p,START_q,START_r,RMSE_X,RMSE_Y,RMSE_Z,RMSE_Vx,RMSE_Vy,RMSE_Vz,RMSE_Phi,RMSE_Theta,RMSE_Psi,RMSE_p,RMSE_q,RMSE_r
1,1,0,3.98347512686242,1.38676315782284,-99.2822399978667,2.34120386745935,2.57232424754335,-1.8769142621118,-0.300700556553751,-0.254441473211565,0.15722353867776,-0.00558945696483426,0.0102993781846364,-0.00533665864383486,0.0253851579357571,0.0434849842996933,7.04395019651949e-06,0.00794068900071242,0.000859047496379201,5.05182189963047e-06,0.001411040202686,0.0002823421524938,1.22869912620077e-08,9.85988147757707e-06,9.48542740242002e-05,1.32454517549417e-07
2,1,0,-4.15511659270384,5.51764473617847,-102.499385880386,-2.84832912586504,-5.8837872172309,-3.82696758462027,0.481108997557342,-0.104237740368707,0.258926649352779,-0.0620477977046106,0.0309420155028075,0.0139239128900537,0.00543828057399113,0.0358709830366739,7.11245598635328e-06,0.00245404600496528,0.00493634927285827,8.6337853809127e-06,0.0015182191893665,8.08105348691075e-05,1.48069254116466e-07,5.66712042539095e-05,2.93198527292993e-05,9.85467127715748e-08
3,1,0,3.47185205692729,-2.52298757529572,-97.2080856575282,-2.09939645034804,2.47389401681426,1.9900838375657,0.0518027829755557,-0.18450923440346,-0.287986840514675,0.0447912667556873,0.140724586689138,-0.0410482564685096,0.0069122383611536,0.0435762541252067,7.0424573137357e-06,0.00157974497939336,0.000864050959474421,1.4195246934851e-06,0.00141005835724476,6.01607139946584e-05,2.26626973433748e-08,9.93552871543942e-06,1.88744552781535e-05,1.95852635949448e-08
4,1,0,-0.72574110876322,-5.14521846261391,-100.29262347306,-2.64569065894191,3.10141372917633,2.31027823140417,0.0406718270828955,-0.049250564488691,0.284596861151648,0.00397053531981089,0.115411016028385,-0.0683254826679383,0.00288830480930361,0.0450893217663268,7.03021749887404e-06,0.00138312991186508,0.000133855259465768,3.02364751811886e-07,0.0013920842631364,4.38040664117506e-05,6.10750415990711e-09,1.55614751297724e-06,1.65254675693527e-05,2.52366295925165e-08
5,1,0,0.303805374451659,6.82472861969224,-104.477702742124,3.780276530452,-5.30079626714153,-0.686533413291518,0.249267910902804,0.0961041646731381,-0.000907723658424479,-0.182106136060912,0.0528081280233187,-0.167664836760357,0.00605597264780676,0.0420024123880263,7.05543702821336e-06,0.00126986641411415,0.00164947060269496,2.57717035120493e-06,0.00142974920346211,4.94000980725413e-05,4.59741203571524e-08,1.89837971700697e-05,1.51722125141459e-05,7.27398358782142e-09
6,1,0,1.97164332995608,-9.05495584231689,-97.4871714786523,0.825378839536273,0.497598665131793,-1.14414547225455,0.219287991300058,0.147285067551973,-0.215704776083186,0.0937816309060761,-0.10989150135853,0.0457715154397269,0.00638669983930106,0.0548050850380741,6.96054273096826e-06,0.00137660762544821,0.00403708491462903,4.58876026614111e-06,0.00129088409056832,5.32320076032934e-05,1.18901836235087e-07,4.62655213294574e-05,1.64463702140107e-05,5.8588039892216e-08
7,1,0,3.62244657668169,1.72617646023152,-98.7637788905621,-4.07006913426361,4.99173813497704,-0.419934884469391,-0.220985229035565,-0.172734218679824,-0.25232438160581,0.0166272894632319,0.0705324407017049,-0.0582241072849042,0.00469016657970593,0.036064390563479,7.11080520441474e-06,0.00075374841973248,0.00484522125411437,8.15992200897975e-06,0.00151528532075974,3.16470666183198e-05,1.39259035018289e-07,5.55216543727681e-05,9.00457614113921e-06,3.15707736968681e-08
8,1,0,3.78651172784871,-0.929024916913789,-101.482268439353,0.990669931587513,-0.521789222369562,-1.73690891963393,0.29674298895214,0.00845677004275433,0.00379945127143336,-0.0840083035597643,0.00991043912376053,0.00493271956117493,0.00987605929593871,0.0451670078055318,7.02996374051816e-06,0.00261756435845909,9.4482353524223e-05,5.83060942176326e-07,0.00139118581209806,9.63881101439273e-05,1.28135874203265e-09,1.09044544060634e-06,3.1272765004407e-05,4.40500116601024e-08
9,1,0,5.73928088414921,-1.265379950524,-104.091852812008,-1.69653715628063,0.411565850660579,-0.571985329182884,-0.256838011868562,0.180458025092778,-0.0835953627107285,0.00747864656730934,0.0193097954638639,0.0477859794542915,0.00954841885213839,0.0475914654113341,7.01157636293937e-06,0.00250245928145624,0.00101213891651258,9.67022130190301e-07,0.00136402877917615,9.23794078297866e-05,3.31658434435079e-08,1.1640160483361e-05,2.98976832355623e-05,5.08358028503898e-08
10,1,0,13.1342796133626,-9.71489159644088,-105.061301581693,-2.05210714618129,0.923993623632549,-1.12695061185056,0.0981602031279504,-0.24267709941212,0.201566420821369,-0.0519599242725694,0.0143295555637312,-0.0668005833609185,0.0310230913116316,0.0541242420843478,6.96575236474444e-06,0.00986934811397987,0.00367973445033022,2.35589830287133e-06,0.00129640763789392,0.000349714027053397,1.19593584858887e-07,4.21753715417337e-05,0.000117922422036483,1.79283211675356e-07
