Run,Success,Crashed,RMSE_Alt,RMSE_Vx,RMSE_Phi,RMSE_Theta
1,1,0,2.80118690735635e-06,0.00109501085807181,0.00138883367994103,2.6748145357239e-05
2,1,0,2.79964014715193e-06,0.00247871852304221,0.00138885615542297,6.89067866137177e-05
3,1,0,2.801282803349e-06,0.000715493589580299,0.00138886274133364,2.27930542873359e-05
4,0,1,NaN,NaN,NaN,NaN
5,1,0,2.68615689875579e-06,0.0103137038751599,0.00138890650207885,0.000543764265953747
6,1,0,2.80144472771677e-06,0.000115841797003125,0.00138890847979651,8.34312432824276e-06
7,1,0,2.80145680894897e-06,0.000226150650172965,0.00138886484373848,9.0775346626606e-06
8,1,0,2.80136255105734e-06,0.000375383372169624,0.00138886523377779,1.51197457394166e-05
9,1,0,2.80145013628941e-06,0.000347956418669377,0.00138884290620655,1.36232090264496e-05
10,1,0,2.80022057475913e-06,0.00203559415722951,0.0013888051463246,5.95424380084093e-05
11,1,0,2.76187390535096e-06,0.00859156040358326,0.00138884634910498,0.000334260246857083
12,1,0,2.80149255424323e-06,5.91882514497086e-05,0.00138885799006284,7.41656335912541e-06
13,1,0,2.79959520368339e-06,0.00257565285790613,0.00138887084643485,6.48599231911177e-05
14,1,0,2.80120313529373e-06,0.000899983357374385,0.00138884162974853,2.74184182854162e-05
15,1,0,2.80143091522424e-06,0.000173224331558188,0.00138885933884411,1.22060122109851e-05
16,1,0,2.80123029585571e-06,0.000616767533638023,0.0013889043800983,2.78057864259438e-05
17,1,0,2.10485446130827e-05,0.0617901980878198,0.00138882340872937,0.00495536951240059
18,1,0,2.80092826362604e-06,0.00132443775448392,0.00138885455108297,4.01658278031329e-05
19,1,0,2.80024122031732e-06,0.00191931901219212,0.00138886580081065,6.03008025599648e-05
20,1,0,2.54120368956078e-06,0.0132422235242029,0.00138888517398365,0.000825855910457285
21,1,0,2.79870637088817e-06,0.00262710018761456,0.00138887202117974,9.04848132405654e-05
22,1,0,2.79833364680201e-06,0.00314381686993308,0.00138886190136786,9.17908372970747e-05
23,1,0,2.78399233240971e-06,0.00608958329869516,0.00138886699188367,0.000223673527727385
24,1,0,2.80147307075632e-06,0.000143546291335228,0.00138886363072417,8.17562732416199e-06
25,1,0,2.80100909492328e-06,0.00045956513315211,0.0013886978972146,3.42897407815971e-05
26,1,0,2.79169296913585e-06,0.00534011872461802,0.00138885650551942,0.000164274273845126
27,1,0,2.8014666020497e-06,0.000209127625404136,0.0013888417873334,1.10085793041781e-05
28,1,0,2.80142151617085e-06,0.00044977955836044,0.00138884509311868,1.18679021579266e-05
29,1,0,2.80143967254713e-06,0.000368894619942269,0.00138885077687221,1.4121971158154e-05
30,1,0,2.72155787540102e-06,0.00859104106169381,0.00138889235713679,0.000454361291241717
31,1,0,2.7985405363232e-06,0.00309771407639727,0.00138889720048915,8.7642126181511e-05
32,1,0,2.80149597065198e-06,9.00813753313101e-05,0.00138884510123329,8.93033332254068e-06
33,1,0,2.78899184615029e-06,0.00494414798536103,0.00138881491192235,0.000188715951785856
34,1,0,2.80114569850838e-06,0.000388871726516471,0.00138893310086241,2.82566962736379e-05
35,1,0,2.67865383140044e-06,0.0113753776240453,0.00138884555347019,0.000571437911879986
36,1,0,2.80105684000196e-06,0.00105214182950023,0.00138888369144881,3.1379388196688e-05
37,1,0,2.80067947338792e-06,0.00154847973120462,0.00138883992356519,3.81639240058544e-05
38,1,0,2.80146319792036e-06,0.000216577945738548,0.00138886670964242,1.05922466481415e-05
39,1,0,2.80148220564757e-06,8.78837314284632e-05,0.00138887029553396,7.97612367207944e-06
40,1,0,0.0885219168269381,11.0119874119601,0.00147426374916228,0.486374886100147
41,1,0,2.80144911541599e-06,0.000141727357525462,0.00138886579564295,1.0861545801716e-05
42,1,0,2.80149321883633e-06,0.000146642489856255,0.00138885236833176,6.31258036754132e-06
43,1,0,2.801369345793e-06,0.000688541831925793,0.00138885433886077,1.56332067901049e-05
44,1,0,2.80131913285853e-06,0.000752051860774795,0.00138887193621363,1.73248040150266e-05
45,1,0,2.80122334953685e-06,0.000651828202387296,0.00138895000644374,1.82660834896845e-05
46,1,0,0.0802227735836111,11.0464753414931,0.00144837286713225,0.468711581749023
47,1,0,2.79996069094547e-06,0.00230835377638496,0.00138885730989933,6.09377053854117e-05
48,1,0,2.8014160749687e-06,0.000420992762303838,0.00138887681901861,1.56704810493256e-05
49,1,0,2.8014271757574e-06,0.000472398193081552,0.00138883420003364,1.67982354785705e-05
50,1,0,2.80107347288766e-06,0.000774630525528539,0.0013888742150372,2.77621514138905e-05
