Run,Success,Crashed,RMSE_Alt,RMSE_Vx,RMSE_Phi,RMSE_Theta
1,1,0,2.80149331982623e-06,3.87103530490067e-07,0.00138886080997432,6.81233694703945e-06
2,1,0,2.8014933448287e-06,2.44104121827037e-07,0.00138886080997232,6.80246271986639e-06
3,1,0,0.299191624348176,17.9319126652394,0.0672981936780699,0.730687153840906
4,1,0,2.80149336813975e-06,8.58540857184592e-07,0.00138886080993358,6.79591451028343e-06
5,1,0,2.80149333065079e-06,7.05624879036763e-09,0.00138886080996989,6.80589601613504e-06
6,1,0,2.80149332877851e-06,2.76597777483007e-08,0.00138886080997035,6.8056470576848e-06
7,1,0,2.80149334130894e-06,2.20046056428467e-09,0.00138886080996976,6.80596112094175e-06
8,1,0,2.80149334315576e-06,1.05286942947834e-07,0.00138886080997183,6.80466338536464e-06
9,1,0,2.80149333593926e-06,3.35295465308096e-08,0.00138886080997011,6.80548978675158e-06
10,1,0,2.80149333106479e-06,6.74548490606325e-08,0.00138886080996772,6.8066584140402e-06
11,1,0,2.80149334482994e-06,2.39716655074451e-07,0.00138886080997379,6.80280510826456e-06
12,1,0,2.80149334490866e-06,1.81581151950215e-07,0.00138886080997206,6.80341167526115e-06
13,1,0,2.80149327707689e-06,1.60660915219478e-06,0.00138886081004882,6.8167834995377e-06
14,1,0,2.80149332354543e-06,8.08031983841272e-09,0.00138886080996984,6.80586952104943e-06
15,1,0,2.80149334495886e-06,2.12692754839824e-07,0.00138886080997202,6.80291579324063e-06
16,0,1,NaN,NaN,NaN,NaN
17,1,0,2.80149330015519e-06,1.20770404737134e-06,0.00138886081002953,6.81083263982245e-06
18,1,0,2.80149333597991e-06,3.92207003342389e-09,0.00138886080996978,6.80592337203115e-06
19,1,0,2.80149334544384e-06,1.86716863127506e-07,0.00138886080997307,6.80353694165132e-06
20,1,0,2.80149333804646e-06,3.16308017152876e-08,0.00138886080996873,6.80627778623385e-06
21,1,0,2.80149334413415e-06,1.63172989513205e-07,0.00138886080997171,6.8036668118614e-06
22,1,0,2.80149332351141e-06,1.07769055617823e-07,0.00138886080996737,6.807295237277e-06
23,1,0,2.80149332354543e-06,1.23476447629875e-08,0.00138886080997013,6.80587384727189e-06
24,1,0,0.155450486941594,21.0435428766539,0.00168485817897869,0.502593103970016
25,1,0,2.80149332701929e-06,1.68823414546212e-08,0.00138886080997275,6.80576454658716e-06
26,1,0,2.8014933427525e-06,1.18561487475234e-07,0.00138886080997269,6.80464216740196e-06
27,1,0,2.80149333396525e-06,5.04453984928743e-08,0.00138886080997099,6.80540571503331e-06
28,1,0,2.8014933224989e-06,1.33961999401107e-07,0.00138886080996948,6.80760954563304e-06
29,1,0,2.8014933311511e-06,7.08821356032225e-08,0.00138886080996753,6.8066604120654e-06
30,1,0,2.80149333264818e-06,5.40405131021503e-08,0.00138886080996828,6.80657452450699e-06
31,1,0,2.80149332698883e-06,2.26354442005993e-08,0.00138886080997295,6.80571337636768e-06
32,1,0,2.80149333119875e-06,6.42068944535195e-08,0.00138886080996777,6.80660352068421e-06
33,1,0,2.80149332115673e-06,2.71904000328623e-07,0.00138886080996594,6.80976832866455e-06
34,1,0,2.8014933454303e-06,4.01475336369142e-07,0.00138886080996992,6.79970937772225e-06
35,1,0,2.80149333446819e-06,4.75028986707362e-08,0.00138886080996836,6.80648002247812e-06
36,1,0,2.80149333216841e-06,4.376638740087e-08,0.00138886080997087,6.80549679866738e-06
37,1,0,2.80149333582041e-06,5.76966492902196e-08,0.00138886080997106,6.80528989144821e-06
38,1,0,2.80149332709809e-06,1.06886201153269e-08,0.00138886080997019,6.80596498379344e-06
39,0,1,NaN,NaN,NaN,NaN
40,1,0,2.80149337435569e-06,6.8463985676052e-06,0.00138886081023762,6.76596328401303e-06
41,1,0,2.80149332856537e-06,3.59459169575153e-08,0.00138886080997082,6.80563557956812e-06
42,1,0,2.80149332493693e-06,2.18600105847318e-08,0.00138886080997328,6.80584150075517e-06
43,1,0,2.80149332370585e-06,3.49251534925239e-07,0.00138886080997013,6.81152923214795e-06
44,1,0,2.8014933268518e-06,2.14918592167918e-08,0.00138886080997309,6.80576681964631e-06
45,1,0,2.80149332680229e-06,2.29688068827163e-08,0.00138886080997298,6.80575348169892e-06
46,1,0,2.80149333420358e-06,7.06241386974941e-09,0.00138886080997001,6.80598242020782e-06
47,1,0,2.80149334515316e-06,1.80480534519358e-07,0.00138886080997151,6.80335541189618e-06
48,1,0,2.80149334305072e-06,1.15988576499563e-07,0.00138886080997323,6.80483921864818e-06
49,1,0,2.80149333909797e-06,8.26403297718739e-08,0.00138886080997203,6.80510525919624e-06
50,1,0,2.80149333449069e-06,4.57843581425746e-08,0.00138886080996842,6.80645696362225e-06
51,1,0,2.8014933329772e-06,6.36429627110835e-08,0.00138886080996764,6.80655729948673e-06
52,1,0,2.80149332278675e-06,1.38672244145233e-07,0.00138886080997011,6.80782515739602e-06
53,0,1,NaN,NaN,NaN,NaN
54,1,0,2.8014933301546e-06,4.85260969697838e-08,0.00138886080997133,6.80555710259981e-06
55,1,0,2.80149334151467e-06,1.50322009122001e-08,0.0013888608099692,6.80611018827579e-06
56,1,0,2.80149332709809e-06,1.03778476942748e-08,0.00138886080997014,6.80594736820247e-06
57,1,0,2.80149334244336e-06,3.42973272374235e-07,0.00138886080996983,6.80061394461496e-06
58,1,0,2.80149320580611e-06,9.06514149448279e-06,0.00138886080961871,6.8690126849033e-06
59,1,0,2.80149333758212e-06,5.70364067735941e-08,0.00138886080997095,6.80527329448251e-06
60,1,0,2.80149333065079e-06,8.66928262638721e-09,0.0013888608099701,6.80597949880753e-06
61,1,0,2.80149329440865e-06,1.74152634022431e-06,0.00138886081005536,6.81042083551325e-06
62,1,0,2.80149334130894e-06,2.599779044481e-09,0.00138886080996976,6.80601000413541e-06
63,1,0,2.80149333792135e-06,3.13379112412192e-08,0.00138886080996883,6.80631183153737e-06
64,1,0,2.80007452295018e-06,0.000978097792535321,0.0013888608488797,4.84302237590489e-05
65,1,0,2.80149335618879e-06,5.79793194219269e-07,0.00138886080996379,6.79662172144107e-06
66,0,1,NaN,NaN,NaN,NaN
67,1,0,2.80149333968503e-06,2.49002440649768e-08,0.0013888608099717,6.80622647894839e-06
68,1,0,0.35899049431564,16.578576811067,0.0672815547500831,0.741690814609785
69,1,0,2.80149332528239e-06,1.74928775951705e-08,0.00138886080997283,6.80576910263365e-06
70,1,0,2.80149332695893e-06,2.06246730650693e-08,0.00138886080997292,6.80574269695139e-06
