Run,Success,Crashed,RMSE_X,RMSE_Y,RMSE_Z,RMSE_Vx,RMSE_Vy,RMSE_Vz,RMSE_Phi,RMSE_Theta,RMSE_Psi,RMSE_p,RMSE_q,RMSE_r
1,1,0,0,78.0522955152132,0.000768175126158071,0.000270252584407889,0.535210086789143,0.00408104132075847,3.25802209135319e-15,0.000164637754271673,1.9279355403323e-13,3.92710944053664e-13,7.33998040990561e-06,2.35045198264164e-11
2,1,0,0,53.8194334246324,0.000606932211856513,0.000212409304088514,0.479377770695778,0.00324867582300217,2.39586214694893e-15,0.000130918419373249,1.42196002128786e-13,2.89335492744042e-13,5.15181756847472e-06,1.73249072047562e-11
3,1,0,0,60.7095307446029,0.000695896029513282,0.000244261056544926,0.511123878993873,0.00370919928683543,2.86580954725097e-15,0.0001495667783228,1.69811224226466e-13,3.45729537052191e-13,6.32691820518483e-06,2.06966975923931e-11
4,1,0,0,47.796326489114,0.000616995410655942,0.000216004238860308,0.483101991577205,0.00330093310454917,2.44726969544552e-15,0.00013303354224171,1.45220797327039e-13,2.95509699663296e-13,5.28052543992022e-06,1.76941291336693e-11
5,1,0,0,36.5636209674967,0.000410676163302366,0.000142712114998669,0.398359179464555,0.00222085258963297,1.41701975704575e-15,8.93682926447633e-05,8.43970592578744e-14,1.71510562179037e-13,2.86665259535565e-06,1.02750647040971e-11
6,1,0,0,16.2638711551928,0.000164239419007866,5.64383615501658e-05,0.255759748864974,0.000903006097332153,6.1868911784536e-16,3.62531877213213e-05,3.70097585239942e-14,7.50926144312451e-14,7.27056034230256e-07,4.50161876168377e-12
7,1,0,0,93.9993267519765,0.000859670806774994,0.000303297092099496,0.563848469866695,0.00454888430118646,3.76530012213323e-15,0.000183616702661809,2.22430062701159e-13,4.53360828211864e-13,8.69340462498154e-06,2.71276175144292e-11
8,1,0,0,14.5984143752376,4.34057254539571e-05,1.47862590236681e-05,0.132844463572065,0.000241809794412431,1.15743641016897e-15,9.69030468003867e-06,6.93639395173901e-14,1.4064660947187e-13,9.94823503923185e-08,8.43366298960968e-12
9,1,0,0,23.6458725596266,0.000266454789085746,9.20362034211821e-05,0.323570434350076,0.00145380479128774,7.88457251754622e-16,5.84287910550116e-05,4.70785610248593e-14,9.55855398671528e-14,1.49946880467458e-06,5.72857369215716e-12
10,1,0,0,36.7111231043113,0.000484172507025107,0.000168718383275514,0.430835182207985,0.00260777966358851,1.77153466844636e-15,0.000104998173538121,1.05374580698616e-13,2.14241231327805e-13,3.66968526437785e-06,1.2832579342033e-11
11,1,0,0,59.892364988939,0.000676559670258581,0.000237324354489855,0.504444427473675,0.00360938541147189,2.76290256338208e-15,0.000145523269858231,1.63772238290534e-13,3.33391239159892e-13,6.0643262298027e-06,1.99591313315434e-11
12,1,0,0,29.6953250244254,0.000343677796639286,0.000119109711978716,0.36578775250534,0.00186586355618738,1.11093124462441e-15,7.50417658673753e-05,6.62439169202564e-14,1.34563135234975e-13,2.19514888379213e-06,8.06296286709968e-12
13,1,0,0,67.1840990587262,0.000709026701199273,0.000248975621157409,0.515599570648249,0.00377689640807974,2.93803519783717e-15,0.0001523097142225,1.74048128408436e-13,3.5438731610388e-13,6.50732417630389e-06,2.12142080049964e-11
14,1,0,0,33.6547889652065,0.000403231051246255,0.000140084440047784,0.394888030331953,0.00218151164614515,1.38230184633744e-15,8.77799663909903e-05,8.23400691272413e-14,1.67322335300199e-13,2.78918536070082e-06,1.0024351975533e-11
15,1,0,0,49.1480670452186,0.000584776062709143,0.00020450061482677,0.471073108471909,0.00313349086577813,2.27951968230938e-15,0.000126257054852817,1.35345866633879e-13,2.75356647776608e-13,4.8716893410598e-06,1.64888697908139e-11
16,1,0,0,75.8184823503752,0.000794073219946886,0.00027959013290817,0.543508304151705,0.00421377952896464,3.40176878270016e-15,0.000170020656403514,2.01201793289118e-13,4.0991028961448e-13,7.71534455218979e-06,2.45321686317267e-11
17,1,0,0,79.8252785518486,0.000810196342643739,0.000285409184710938,0.548603765463436,0.00429630023171527,3.48904930421647e-15,0.000173367796971904,2.0630304027799e-13,4.2034841116277e-13,7.95187174484493e-06,2.51557494555853e-11
18,1,0,0,32.5846466634169,0.000411215360637498,0.000142902475974224,0.398608853635987,0.00222370053918098,1.41955687127617e-15,8.94832811330334e-05,8.45474996008806e-14,1.71816606196537e-13,2.87229706936257e-06,1.02933959295549e-11
19,1,0,0,65.9888275593833,0.000703086151791474,0.000246842116689015,0.513583627288968,0.00374628030853661,2.90448279116405e-15,0.000151069151519235,1.72079974481169e-13,3.50365510668871e-13,6.42540812615494e-06,2.09738096387007e-11
20,1,0,0,66.3685134069209,0.000732747692899704,0.000257500365771893,0.523578473828784,0.0038990370417507,3.06482517365855e-15,0.000157259508264266,1.81480234901204e-13,3.69578290644374e-13,6.83709378103233e-06,2.21221403665177e-11
21,1,0,0,33.9987805042291,0.000429563329126322,0.000149384105719695,0.40699335415767,0.00232052533514739,1.50658902927999e-15,9.3393167495054e-05,8.9702021201856e-14,1.82312903559809e-13,3.06667492006137e-06,1.09216997649755e-11
22,1,0,0,3.39655193840081,5.04291858550488e-05,1.71908548455057e-05,0.143079566053858,0.000280637699916296,1.17363737135722e-15,1.12479511051052e-05,7.03268310927944e-14,1.42605457538183e-13,1.24483669919236e-07,8.55096569677412e-12
23,1,0,0,90.5360442682787,0.000834918536801807,0.000294342146121106,0.556285530425327,0.00442262531428797,3.62756722029577e-15,0.000178492932950709,2.14393073347724e-13,4.36906216518279e-13,8.31973392466686e-06,2.61448327270265e-11
24,1,0,0,18.3292563832534,0.000228954174551327,7.8942983214536e-05,0.300647289399859,0.00125248717519028,6.72593720485692e-16,5.03192588289401e-05,4.01890416239754e-14,8.15764651990075e-14,1.19498989228057e-06,4.88950698620655e-12
25,1,0,0,73.0363895765915,0.00072638649228422,0.000255213443206258,0.521449774750685,0.00386630025503117,3.03186278383805e-15,0.000155932734618631,1.79548780518252e-13,3.65630067475344e-13,6.74824391572092e-06,2.18861679832957e-11
26,1,0,0,26.7833616323056,0.000345426308629881,0.000119724248151858,0.366686091329189,0.00187515956891283,1.1190466598928e-15,7.54167486070071e-05,6.67260796723321e-14,1.35543819611506e-13,2.21180983570562e-06,8.12170216011312e-12
27,1,0,0,55.5832689503976,0.000678315045491456,0.000237954184859086,0.505046332684942,0.003618444181944,2.77159739934041e-15,0.000145890259201659,1.64281818726402e-13,3.34432850764774e-13,6.08826669924245e-06,2.00213885551532e-11
28,1,0,0,20.3617600296351,0.000257205394763147,8.8803400803355e-05,0.318087622483296,0.00140422772465456,7.56036609140605e-16,5.64312724838039e-05,4.51505239624914e-14,9.16652557849366e-14,1.42223798515054e-06,5.49376497215525e-12
29,1,0,0,71.7111135674414,0.000767214282496325,0.000269906409278925,0.534898843848506,0.0040761114605209,3.25270289995504e-15,0.000164437865485384,1.92482220503824e-13,3.92074228793122e-13,7.32618292112628e-06,2.34664720968873e-11
30,1,0,0,37.3859608243983,0.000389414252509053,0.000135210806859396,0.388366989520453,0.00210843967442338,1.31835078187746e-15,8.48301661045621e-05,7.85498060161205e-14,1.59605996379695e-13,2.64703483841579e-06,9.56241342857634e-12
31,1,0,0,12.5045503906283,0.000101965882986343,3.49038400058154e-05,0.202485003147599,0.000563883569482046,6.52974943178059e-16,2.26200999547719e-05,3.90970154666965e-14,7.93009794496974e-14,3.56538014528935e-07,4.75454905652024e-12
32,1,0,0,23.6901287270419,0.000235953852542386,8.13840850985411e-05,0.305072071619122,0.0012901280323697,6.90795906834145e-16,5.18351529355034e-05,4.12710381454942e-14,8.37767942273794e-14,1.25005422677963e-06,5.02128579147575e-12
33,1,0,0,46.8972259290499,0.000526291579816512,0.000183673492228076,0.448215342094595,0.00282841676090275,1.98152005979945e-15,0.000113917199496156,1.17776206804807e-13,2.39520563859483e-13,4.15883810156031e-06,1.4345167561725e-11
34,1,0,0,99.7736289539876,0.000906004952289996,0.000320090639879925,0.577663365378357,0.00478462765415966,4.02470932113702e-15,0.000193187116389257,2.37547210037471e-13,4.84326202504858e-13,9.40759244046705e-06,2.89767143034848e-11
35,1,0,0,31.6061475084395,0.000398104245493467,0.000138275614588243,0.392480477989706,0.00215440730965663,1.35845306261104e-15,8.66857522237317e-05,8.09268204987436e-14,1.64444983195206e-13,2.73619406825606e-06,9.85210402338775e-12
36,1,0,0,46.086164995812,0.000542529079232997,0.000189449087036085,0.454694639238204,0.0029132596476261,2.06355029199442e-15,0.000117348146841097,1.22616062847129e-13,2.49389599626115e-13,4.35307632752847e-06,1.4935595179645e-11
37,1,0,0,104.459166435745,0.000913788591777329,0.000322916146094772,0.579934875151712,0.00482414423866248,4.06671869680408e-15,0.00019479187619199,2.39992206278085e-13,4.89336673074952e-13,9.5296931920165e-06,2.9275863234291e-11
38,1,0,0,61.542797980714,0.000718227018864652,0.000252280027686166,0.518726467511144,0.00382430945072705,2.98740246444113e-15,0.000154230907314959,1.76944202789287e-13,3.60305071115081e-13,6.63415517918605e-06,2.1567941514703e-11
39,1,0,0,24.0142688127693,0.00025952600069931,8.96143232343957e-05,0.319470484098247,0.00141666995655554,7.6412902376981e-16,5.69325634655275e-05,4.56318625911782e-14,9.26438424879862e-14,1.44151766175454e-06,5.55238356676762e-12
40,1,0,0,36.1760702193096,0.000486777791151745,0.000169642068895944,0.431943512890004,0.00262145637629781,1.78393796830659e-15,0.000105550870179822,1.06107771448731e-13,2.15735295207089e-13,3.69914810679409e-06,1.29219879762977e-11
41,1,0,0,50.9149765257494,0.000588813976948969,0.000205941448426206,0.472594049922511,0.00315449359353254,2.30038531424189e-15,0.000127106942151439,1.36574654783425e-13,2.77864084766036e-13,4.92249571679592e-06,1.66388316787587e-11
42,1,0,0,25.9723551513533,0.00037600285951111,0.000130484572100457,0.3819018610161,0.00203741563176172,1.25673375810153e-15,8.19635943405737e-05,7.4895834463809e-14,1.52169036954717e-13,2.51165936352944e-06,9.11714297732672e-12
43,1,0,0,7.06343136487838,5.53672048312059e-05,1.88829619927757e-05,0.149844235005921,0.000307900009321938,1.14842553931991e-15,1.23418281104309e-05,6.88114795104507e-14,1.39535354352475e-13,1.43136709400807e-07,8.36680500841297e-12
44,1,0,0,28.6445847954877,0.000295716775209742,0.000102277966084875,0.340266418716864,0.00161032889204561,9.02853930629988e-16,6.47371701390111e-05,5.38809959391899e-14,1.09417351417767e-13,1.75262216658564e-06,6.55703300389183e-12
