Run,Success,Crashed,RMSE_X,RMSE_Y,RMSE_Z,RMSE_Vx,RMSE_Vy,RMSE_Vz,RMSE_Phi,RMSE_Theta,RMSE_Psi,RMSE_p,RMSE_q,RMSE_r
1,1,0,0.000173702433456366,0.0284977570975989,2.62640000361362e-05,5.77510408660045e-13,1.28572171892622e-14,3.27461397941776e-14,0.00138884969899966,1.36119403076029e-05,2.5697680326517e-16,2.52935966787661e-12,1.13537216062506e-14,3.87792201851496e-14
2,1,0,0.000173702428642891,0.0284977570975824,2.62639999757393e-05,6.81129568416603e-12,1.44346118433062e-14,3.30061902839635e-14,0.00138884969899884,1.36119404016943e-05,2.61075883974502e-16,2.52997157808952e-12,1.33152398096266e-13,3.87861190780891e-14
3,1,0,0.000173702435153016,0.0284977570975863,2.62639999757393e-05,1.61988231746901e-12,8.06818244402434e-15,3.30466513170825e-14,0.00138884969899873,1.36119402744391e-05,2.57112620623279e-16,2.53071823128624e-12,3.16883691227596e-14,3.88015159371439e-14
4,1,0,0.000173702435525248,0.0284977570976024,2.62640000361362e-05,2.10224525661465e-12,1.84822746138408e-14,3.27248913081298e-14,0.00138884969899831,1.36119402671612e-05,2.57160959205307e-16,2.52964437177087e-12,4.11070358159995e-14,3.8785003954511e-14
5,1,0,0.000173702435370462,0.0284977570976668,2.62640000361362e-05,1.90129200466319e-12,1.24009446148463e-13,3.26836993876104e-14,0.00138884969899785,1.36119402701894e-05,2.56931005270372e-16,2.52915019815016e-12,3.71859697543458e-14,3.87764804397413e-14
6,1,0,0.000173702431962043,0.0284977570975897,2.62639999757393e-05,2.51274487437347e-12,2.55281994125518e-15,3.30306477776979e-14,0.00138884969899864,1.36119403368129e-05,2.57182369218323e-16,2.53026193229307e-12,4.91459898492366e-14,3.87920477860285e-14
7,1,0,0.000173702433549784,0.0284977570975768,2.62639999757393e-05,4.56601072812883e-13,2.36263511967127e-14,3.30349782303735e-14,0.00138884969899899,1.36119403057784e-05,2.56537313912215e-16,2.52905587979917e-12,9.01517086993114e-15,3.87744577381611e-14
8,1,0,0.00017370243544791,0.0284977570975788,2.62639999757393e-05,2.00183255584475e-12,2.02429930657703e-14,3.30462861649898e-14,0.00138884969899893,1.36119402686747e-05,2.57218152579869e-16,2.53048072523988e-12,3.91448042609383e-14,3.87975797700236e-14
9,1,0,0.000173702434367438,0.0284977570976275,2.62640000361362e-05,6.02443855068683e-13,5.95514423475187e-14,3.27158678115667e-14,0.0013888496989989,1.36119402897951e-05,2.56778508251226e-16,2.52903762441309e-12,1.18367506482365e-14,3.87740810296688e-14
10,1,0,0.000173702432314804,0.0284977570975949,2.62640000361362e-05,2.05585780955764e-12,6.30185702009175e-15,3.27557051997564e-14,0.00138884969899851,1.36119403299176e-05,2.56880253275772e-16,2.52937088457377e-12,4.02072875967718e-14,3.87777414863376e-14
11,1,0,0.000173702434547092,0.0284977570975947,2.62640000361362e-05,8.34932541111854e-13,6.0784607454958e-15,3.27372932467172e-14,0.00138884969899852,1.36119402862834e-05,2.56519726380047e-16,2.52790264329953e-12,1.63731994581316e-14,3.87575634519687e-14
12,1,0,0.000173702434173783,0.0284977570975874,2.62639999757393e-05,3.51541722593637e-13,6.2676049094225e-15,3.30465561981289e-14,0.00138884969899871,1.36119402935807e-05,2.56593858778503e-16,2.52942606284707e-12,6.9940501693565e-15,3.87805251445326e-14
13,1,0,0.000173702433639847,0.0284977570976008,2.62640000361362e-05,3.40026714315867e-13,1.6020378886959e-14,3.27344701969471e-14,0.00138884969899961,1.36119403040182e-05,2.56920999021747e-16,2.52924134450741e-12,6.77025531535154e-15,3.87778339947315e-14
14,1,0,0.000173702433081443,0.0284977570976157,2.62640000361362e-05,1.06313871070796e-12,4.01611634279983e-14,3.27307039469441e-14,0.00138884969899922,1.3611940314932e-05,2.57199907115906e-16,2.52985576737154e-12,2.08195621051346e-14,3.87869049682788e-14
15,1,0,0.00017370242930245,0.0284977570975909,2.62639999775165e-05,5.95709380087813e-12,1.1998927193431e-15,3.10843878596244e-14,0.00138884969899862,1.36119403887994e-05,2.59770589604152e-16,2.52714543951914e-12,1.16460400196506e-13,3.8743944016232e-14
16,1,0,0.000173702435165065,0.0284977570976187,2.62640000361362e-05,1.63522382850805e-12,4.50989659912874e-14,3.2722278948856e-14,0.00138884969899913,1.36119402742037e-05,2.57068066272739e-16,2.53058441494795e-12,3.19851533869732e-14,3.87974313094772e-14
17,1,0,0.000173702427068434,0.0284977570975873,2.62639999757393e-05,8.85044604956785e-12,6.36042585455889e-15,3.30034071438815e-14,0.00138884969899871,1.36119404324705e-05,2.64286533030379e-16,2.53013358860512e-12,1.73000210301442e-13,3.87882428804586e-14
18,1,0,0.000173702434701265,0.0284977570975885,2.62639999757393e-05,1.03470696541573e-12,4.49422966625904e-15,3.30559779078969e-14,0.00138884969899868,1.36119402832694e-05,2.5676126533694e-16,2.52976363931592e-12,2.02705019228817e-14,3.87858848768943e-14
19,1,0,0.000173702433620018,0.0284977570975893,2.62639999757393e-05,3.65554386068978e-13,3.19762472741108e-15,3.30510455583417e-14,0.00138884969899866,1.36119403044044e-05,2.56637750424109e-16,2.5301194066313e-12,7.26768657073463e-15,3.87914020659953e-14
20,1,0,0.000173702433268354,0.0284977570975898,2.62639999757393e-05,8.20928291214042e-13,2.43172880369101e-15,3.30505832963751e-14,0.00138884969899865,1.36119403112787e-05,2.56656756106764e-16,2.52999107762387e-12,1.61012213580624e-14,3.87886821888325e-14
21,1,0,0.00017370243470427,0.0284977570975821,2.62639999773268e-05,1.03847352733736e-12,1.48786400357726e-14,3.13406247949657e-14,0.00138884969899886,1.36119402832111e-05,2.5654494302226e-16,2.52775818791825e-12,2.03400285115991e-14,3.87547735839759e-14
22,1,0,0.000173702433781943,0.0284977570975765,2.62639999757393e-05,1.55872708144481e-13,2.40516361351333e-14,3.30428517647195e-14,0.00138884969899901,1.36119403012396e-05,2.56612405769439e-16,2.5297780473168e-12,3.29573449379695e-15,3.87858250572036e-14
23,1,0,0.00017370243163084,0.0284977570976102,2.62640000361362e-05,2.94212985552617e-12,3.12270490972171e-14,3.27411886871506e-14,0.0013888496989981,1.3611940343287e-05,2.57049098131409e-16,2.5264627168715e-12,5.75244891950047e-14,3.87334277554248e-14
24,1,0,0.000173702433066533,0.0284977570976091,2.62640000361362e-05,1.08252480933894e-12,2.94554311704037e-14,3.27367020553466e-14,0.0013888496989994,1.36119403152251e-05,2.57280338559056e-16,2.53059012407867e-12,2.12141695638554e-14,3.87980235359533e-14
25,1,0,0.000173702431584443,0.0284977570977646,2.62640000361362e-05,3.00234319814287e-12,2.84584535024535e-13,3.26382520812692e-14,0.00138884969899522,1.36119403441958e-05,2.58171477189121e-16,2.52648259480182e-12,5.87082905514066e-14,3.87381754467202e-14
26,1,0,0.00017370243447916,0.0284977570975926,2.62640000361362e-05,7.47238230565387e-13,2.65505212498652e-15,3.27400207898724e-14,0.00138884969899857,1.36119402876101e-05,2.56684771417059e-16,2.52947319579115e-12,1.46583226201331e-14,3.87812607577847e-14
27,1,0,0.000173702433126876,0.0284977570975859,2.62639999757393e-05,1.00427502936785e-12,8.70350606761498e-15,3.30491585889139e-14,0.00138884969899875,1.36119403140448e-05,2.56676220944809e-16,2.53007011574033e-12,1.96821587114833e-14,3.87899169766271e-14
28,1,0,0.000173702434037741,0.0284977570975966,2.62640000361362e-05,1.7531390677542e-13,9.08304635459095e-15,3.27479548487004e-14,0.00138884969899973,1.36119402962414e-05,2.5687229046031e-16,2.52956291496248e-12,3.67333704534471e-15,3.87813646959999e-14
29,1,0,0.00017370243404168,0.0284977570975813,2.62639999757393e-05,1.80541342491313e-13,1.61788515129551e-14,3.3038381819777e-14,0.00138884969899888,1.36119402961619e-05,2.56595279139012e-16,2.5295747329627e-12,3.71728439734137e-15,3.87830392898216e-14
