Run,Success,Crashed,RMSE_X,RMSE_Y,RMSE_Z,RMSE_Vx,RMSE_Vy,RMSE_Vz,RMSE_Phi,RMSE_Theta,RMSE_Psi,RMSE_p,RMSE_q,RMSE_r
1,1,0,0.000173766093901651,0.0284977578050647,2.62640001441017e-05,5.82748343865996e-08,8.2144316843834e-10,1.80370206039471e-12,0.00138884968002333,1.36106968907286e-05,4.21127950018677e-13,2.21391788247357e-11,1.13910378215621e-09,1.76560727690556e-12
2,1,0,0.000173951887784216,0.028497752202391,2.62639996384681e-05,2.28001725767513e-07,5.68411457491514e-09,4.36278338500797e-12,0.00138884983024726,1.36070789025176e-05,1.72687243464638e-12,1.52463885607603e-10,4.45677159427008e-09,6.94885835503676e-12
3,1,0,0.000173812014583463,0.0284977582068638,2.62640002161031e-05,1.00290749012314e-07,1.28828758425904e-09,2.94530617277224e-12,0.00138884966924512,1.36098011597467e-05,7.25879829389788e-13,3.46053853292455e-11,1.96039291392229e-09,3.03909411233512e-12
4,1,0,0.000173848458211783,0.0284977588709889,2.62640003125276e-05,1.33618695563597e-07,2.05988408839189e-09,4.36118672306219e-12,0.00138884965143322,1.36090909984809e-05,9.64045200986635e-13,5.52665660988319e-11,2.61185749195047e-09,4.04757809436518e-12
5,1,0,0.000173955573077385,0.028497751726561,2.62639995901907e-05,2.31394116138092e-07,6.23755390103044e-09,5.02722827466258e-12,0.00138884984300664,1.36070073076121e-05,1.75673971766654e-12,1.6730205597753e-10,4.52308296602014e-09,7.05440254601467e-12
6,1,0,0.000173642664444143,0.028497756543201,2.62639998856678e-05,5.47928901585851e-08,6.4387232109211e-10,1.53079249812269e-12,0.0013888497138711,1.36131094702208e-05,3.97121255034339e-13,1.75000079395912e-11,1.07104190286471e-09,1.66209277105282e-12
7,1,0,0.000173893102941581,0.0284977556878085,2.62639999703879e-05,1.74390312836023e-07,1.63694964543863e-09,2.38366350092038e-13,0.00138884973678846,1.36082218758288e-05,1.29669666409723e-12,4.40005520746495e-11,3.40882419610952e-09,5.30236296320828e-12
8,1,0,0.000173765019349339,0.0284977565528292,2.62639999668916e-05,5.72910273059791e-08,6.32321401981196e-10,1.0319101008885e-13,0.00138884971360286,1.36107178629401e-05,4.26830969963361e-13,1.71760877645535e-11,1.11987321705378e-09,1.74236591274979e-12
9,1,0,0.000173997976829166,0.0284977507658124,2.62639995183881e-05,2.69964766231488e-07,7.35101369587366e-09,5.96244493283698e-12,0.001388849868765,1.36061839007554e-05,2.05023275850432e-12,1.97077917418196e-10,5.27702714005132e-09,8.23198174722622e-12
10,1,0,0.000173822559760055,0.0284977542756785,2.62639997709702e-05,1.09931541485877e-07,3.27668546736735e-09,2.78969709444209e-12,0.00138884977466133,1.36095956055469e-05,8.37383354478673e-13,8.79328155731352e-11,2.14884239822171e-09,3.35267962665511e-12
11,1,0,0.000173776229433481,0.0284977680265057,2.62640012343972e-05,6.75629867698833e-08,1.26909929502052e-08,1.71414665797788e-11,0.00138884940592887,1.36104991013297e-05,3.83900047477306e-13,3.40280475993093e-10,1.32066026789315e-09,1.9932684249826e-12
