Run,Success,Crashed,RMSE_X,RMSE_Y,RMSE_Z,RMSE_Vx,RMSE_Vy,RMSE_Vz,RMSE_Phi,RMSE_Theta,RMSE_Psi,RMSE_p,RMSE_q,RMSE_r
1,1,0,0.000173702432514923,0.0284977570975861,2.62639999757393e-05,1.79655981697178e-12,8.32323206403582e-15,3.30448951915397e-14,0.00138884969899875,1.36119403260055e-05,2.56883733005743e-16,2.52989494765309e-12,3.51411108421048e-14,3.87866949232351e-14
2,1,0,0.000173702430658141,0.0284977570975975,2.6264000034359e-05,4.2010288270889e-12,1.05763138687167e-14,3.08309590920924e-14,0.00138884969899844,1.36119403623006e-05,2.58242825648182e-16,2.52946415476758e-12,8.21314329090845e-14,3.8778415537278e-14
3,1,0,0.000173702433399499,0.0284977570973761,2.62639999757393e-05,6.51197793259459e-13,3.53122846148506e-13,3.28830694697241e-14,0.00138884969900438,1.36119403087151e-05,2.56601074211341e-16,2.52962129872208e-12,1.2785882064899e-14,3.87849201587997e-14
4,1,0,0.000173702433390396,0.0284977570975955,2.62640000361362e-05,6.6296761870632e-13,7.22531899887226e-15,3.27425453015238e-14,0.00138884969899975,1.36119403088942e-05,2.56838601037485e-16,2.52763086560509e-12,1.30180192402962e-14,3.87526422079151e-14
5,1,0,0.000173702432547808,0.0284977570975846,2.62639999757393e-05,1.7544414235337e-12,1.08379609049284e-14,3.3036428390996e-14,0.00138884969899879,1.36119403253643e-05,2.56807382860984e-16,2.52949898116775e-12,3.4324199805476e-14,3.87815187715747e-14
6,1,0,0.000173702434797794,0.0284977570976044,2.62640000361362e-05,1.15982966635729e-12,2.17894911624514e-14,3.27279687998727e-14,0.00138884969899953,1.36119402813835e-05,2.57160320278393e-16,2.53238037409936e-12,2.26947044490452e-14,3.882513721994e-14
7,1,0,0.00017370243221593,0.0284977570976011,2.62640000361362e-05,2.18395643571134e-12,1.64201077366428e-14,3.2752219534687e-14,0.00138884969899833,1.36119403318508e-05,2.57009115152094e-16,2.53025447779236e-12,4.27177685879792e-14,3.8791949010535e-14
8,1,0,0.000173702433080132,0.0284977570975466,2.62639999757393e-05,1.06475336712139e-12,7.31882418221329e-14,3.30116698014225e-14,0.0013888496989998,1.36119403149577e-05,2.56443881491478e-16,2.52785052631436e-12,2.08546015671062e-14,3.87559835277579e-14
9,1,0,0.000173702434417687,0.028497757097612,2.62640000361362e-05,6.67401199197823e-13,3.42158463189265e-14,3.27232816328239e-14,0.00138884969899931,1.3611940288814e-05,2.56851463405859e-16,2.5296502080123e-12,1.30884144025221e-14,3.87832719468741e-14
10,1,0,0.000173702432548896,0.0284977570975752,2.62639999757393e-05,1.75309251966473e-12,2.61653202581895e-14,3.30259725477037e-14,0.00138884969899904,1.36119403253416e-05,2.56742053648561e-16,2.52903481134692e-12,3.42905382565136e-14,3.87738015467195e-14
