Run,Success,Crashed,RMSE_X,RMSE_Y,RMSE_Z,RMSE_Vx,RMSE_Vy,RMSE_Vz,RMSE_Phi,RMSE_Theta,RMSE_Psi,RMSE_p,RMSE_q,RMSE_r
1,1,0,0.000173503983324667,0.0284977725959276,2.62640015318695e-05,1.82173716830329e-07,1.79966560915264e-08,2.07266348787824e-11,0.00138884928341981,1.3615828844134e-05,1.49955755230169e-12,4.8253313712722e-10,3.56096708589065e-09,5.61488563253601e-12
2,1,0,0.000173807349902643,0.0284977506009448,2.62639993714759e-05,9.59995779226031e-08,7.54175416059464e-09,8.43536277108943e-12,0.00138884987320285,1.36098921019775e-05,7.72919830334315e-13,2.02289972795958e-10,1.87651294254995e-09,2.94902747796453e-12
3,1,0,0.000173645666479902,0.028497755403059,2.62639997697651e-05,5.20254906944137e-08,1.96731169115653e-09,3.19433570045437e-12,0.00138884974444443,1.36130507051862e-05,3.65001783367761e-13,5.2863921079724e-11,1.01694729335417e-09,1.57203415729483e-12
4,1,0,0.00017394475708078,0.0284977469328089,2.62639990755751e-05,2.21376589812577e-07,1.17967677418403e-08,1.22813944082429e-11,0.0013888499715538,1.36072174407052e-05,1.73258060178266e-12,3.16290267055425e-10,4.32726938754369e-09,6.77687730141649e-12
5,1,0,0.000173715746677882,0.0284977619325472,2.62640005455155e-05,1.21923866922052e-08,5.61301470441699e-09,7.35286473975084e-12,0.00138884956934662,1.36116801145738e-05,3.9884202962163e-14,1.50500929265055e-10,2.38325782926577e-10,3.46166864143268e-13
6,1,0,0.000173933349693925,0.0284977606942662,2.62640005630775e-05,2.11097718465275e-07,4.17706490411262e-09,8.07203852555563e-12,0.00138884960253405,1.36074391697502e-05,1.51484178119741e-12,1.12016371622397e-10,4.12634738905681e-09,6.39055366823727e-12
7,1,0,0.000173870753056609,0.0284977554415758,2.6263999924631e-05,1.53943755812567e-07,1.92249231497699e-09,5.09982048678169e-13,0.00138884974339189,1.36086568513076e-05,1.14892198387932e-12,5.15649114152926e-11,3.00915337346922e-09,4.68419001786622e-12
8,1,0,0.000173941923994433,0.0284977578743868,2.62640002703072e-05,2.1894723100083e-07,9.02585245180099e-10,3.97741414853288e-12,0.00138884967815006,1.36072725226269e-05,1.60168677053553e-12,2.43118979040063e-11,4.27978253497474e-09,6.64383271730002e-12
9,1,0,0.000173778438845783,0.0284977533439232,2.62639996418566e-05,6.95659656757699e-08,4.35756797512847e-09,4.69148372896997e-12,0.00138884979965053,1.36104559912113e-05,5.5023394595073e-13,1.16912281984578e-10,1.3598125966547e-09,2.13199721289337e-12
10,1,0,0.000173895492884374,0.0284977520013119,2.62639995793448e-05,1.76503653834953e-07,5.9160496042823e-09,5.31828732829939e-12,0.00138884983564267,1.36081753670864e-05,1.350326526098e-12,1.58610119546732e-10,3.45013385101875e-09,5.3874520199844e-12
11,1,0,0.000173908623500502,0.0284977575606431,2.62640002141015e-05,1.88432197577321e-07,5.37760307424102e-10,3.11822891685954e-12,0.00138884968656599,1.36079199309169e-05,1.38058355916201e-12,1.46168281700824e-11,3.68330226669182e-09,5.71892447532405e-12
