Run,Success,Crashed,START_X,START_Y,START_Z,START_Vx,START_Vy,START_Vz,START_Phi,START_Theta,START_Psi,START_p,START_q,START_r,RMSE_X,RMSE_Y,RMSE_Z,RMSE_Vx,RMSE_Vy,RMSE_Vz,RMSE_Phi,RMSE_Theta,RMSE_Psi,RMSE_p,RMSE_q,RMSE_r
1,1,0,0.335826335962241,0.33224306048862,-0.05,0.705604680519406,0.0684314623149524,0.288814067029116,0.012728057181226,0.0768470804294079,0.0591956689322203,0,0,0,8.47133769548411e-06,0.00425327720163518,7.02819628097849e-06,1.31429253281967e-11,4.78680351783305e-12,3.37310900366922e-14,0.00138884969913516,1.3611940668239e-05,3.26655021728356e-16,2.79426660007706e-12,7.71920166285149e-13,4.21941049925271e-14
2,1,0,0.0106531610485046,0.124333691635181,-0.05,0.889715568432104,-0.119736134864956,0.428996235864019,-0.04599054880291,-0.039895400278611,0.0451751966650384,0,0,0,8.47134043580998e-06,0.00425327720326527,7.02819628095596e-06,7.41681464928814e-12,1.32973966191607e-12,3.14782088460719e-14,0.00138884969903742,1.36119405072903e-05,2.90503084120229e-16,2.73527198507804e-12,4.35625660773262e-13,4.15404834987849e-14
3,1,0,0.648305144049068,1.05809227042019,-0.05,-0.31659569374241,0.50899470914653,0.0859628372504787,-0.00248573746027771,0.0884434499528753,0.0752434736755913,0,0,0,8.47133594593317e-06,0.00425327719767838,7.02819628111359e-06,1.68057374018099e-11,1.3183795667675e-11,4.117578769779e-14,0.00138884969937215,1.36119407709938e-05,5.2818001512101e-16,2.88608337055213e-12,9.87051861032044e-13,4.20633385330333e-14
4,1,0,-2.25107830229662,0.356489129614669,-0.05,-0.425120773116955,-0.149775519506799,-0.317124296620114,0.0850574358213315,0.0649822801603073,0.0290744212148391,0,0,0,8.47136844158234e-06,0.00425327720029306,7.02819628101126e-06,5.11138230046517e-11,7.6331960199914e-12,3.54504549556448e-14,0.00138884969921408,1.36119388624565e-05,4.58681018939569e-16,2.80535225882101e-12,3.00204116635761e-12,4.24336886253299e-14
5,1,0,0.703417615515007,0.4581633390878,-0.05,0.341991995096548,0.125644789780857,-0.0892519476497268,0.0265844623046789,-0.0162262798834164,-0.0206491777998091,0,0,0,8.47133493703429e-06,0.0042532771996,7.02819628107319e-06,1.89109306604484e-11,9.10469624061348e-12,3.73848086495709e-14,0.00138884969925705,1.36119408302493e-05,4.1298507497122e-16,2.83354948084846e-12,1.11070637610717e-12,4.21867340381733e-14
6,1,0,-0.269738542331053,-0.0881301721574661,-0.05,0.00401463721197158,1.26589780750157,-0.611621528833397,-0.0561167305334787,0.0128836005463718,-0.00265001075443896,0,0,0,8.47134676505312e-06,0.00425327720239746,7.02819628095596e-06,5.81567333204064e-12,3.17215922425502e-12,3.24538061785312e-14,0.00138884969908951,1.36119401355598e-05,3.14130095381995e-16,2.77615160052413e-12,3.415712512071e-13,4.20295389231487e-14
7,1,0,-0.730150625300169,0.326987125798262,-0.05,0.3764954566411,-0.576860773254566,-0.203933524889188,-0.0674346230451623,0.00437611746238456,0.00857651131884435,0,0,0,8.47135054555003e-06,0.00425327720273972,7.02819628095596e-06,1.37175492998098e-11,2.44497291291982e-12,3.19809847507235e-14,0.00138884969906753,1.36119399135215e-05,3.12302654054724e-16,2.77010807796302e-12,8.05675488298811e-13,4.21025770514472e-14
8,1,0,0.682574713533531,-1.08636761523444,-0.05,0.148746189240157,-0.0716541277948145,0.6959768301061,0.0160612549092853,-0.0281268990324469,-0.0119868641946936,0,0,0,8.47133556773407e-06,0.00425327721265534,7.02819624509532e-06,1.75940696680548e-11,1.85903190641965e-11,4.66033149360069e-14,0.00138884969847369,1.36119407932066e-05,7.48696428117331e-16,2.98330789700297e-12,1.03333438786289e-12,4.17921018112032e-14
9,1,0,-0.536220402360493,1.43902127211766,-0.05,-0.255549843982439,-0.803417723630053,-0.10062151098001,0.0598736985513966,0.0347298397818402,0.00859143730124841,0,0,0,8.47135063064984e-06,0.00425327719294488,7.02819628128778e-06,1.38918356596349e-11,2.32200047663483e-11,5.19152628367884e-14,0.0013888496996542,1.36119399085228e-05,9.03292124892824e-16,3.07683140203673e-12,8.15922764505169e-13,4.21356968156666e-14
10,1,0,1.78540550916262,-0.587711477365292,-0.05,0.129518153876646,-0.435916757738957,-0.393958266633844,-0.0180295866289796,0.0339091515949314,0.107553824817665,0,0,0,8.47132412457502e-06,0.00425327720978957,7.02819624525168e-06,4.15136944528612e-11,1.25102555150497e-11,3.98434617446414e-14,0.0013888496986453,1.36119414652997e-05,5.8903336105412e-16,2.88079432655571e-12,2.43819394407495e-12,4.22566265022405e-14
