Run,Success,Crashed,RMSE_Alt,RMSE_Vx,RMSE_Phi,RMSE_Theta
1,1,0,2.80149323263976e-06,3.46483313727349e-06,0.0013888607658237,6.82865746756126e-06
2,1,0,2.80149357243027e-06,4.79551063059254e-06,0.00138886086888126,6.70237348086134e-06
3,1,0,2.80149371129692e-06,7.96676959928857e-06,0.00138886085657658,6.64365343095619e-06
4,1,0,2.80149376590167e-06,8.95435635465965e-06,0.00138886082501206,6.62558809329625e-06
5,1,0,2.80149314365325e-06,4.54685539334656e-06,0.00138886086304676,6.82836416471125e-06
6,1,0,2.80149366040241e-06,6.38612050907391e-06,0.00138886082208918,6.68050506103433e-06
7,1,0,2.80149369577894e-06,1.28754935818584e-05,0.00138886088853888,6.59631573615387e-06
8,1,0,2.80149365297846e-06,5.82172824839495e-06,0.00138886082016334,6.68321307151215e-06
9,1,0,2.80149366595948e-06,7.38543459670989e-06,0.00138886086990305,6.66143646283684e-06
10,1,0,2.80149346796063e-06,3.46808993289319e-06,0.00138886091606177,6.73019756426302e-06
11,1,0,2.80149360814206e-06,1.60504830596566e-05,0.00138886089504595,6.57851595414203e-06
12,1,0,2.80149362498991e-06,4.53524481026136e-06,0.00138886077178082,6.70939349515286e-06
13,1,0,2.80149336671715e-06,1.90357069792018e-06,0.00138886088470013,6.77148294865561e-06
14,1,0,2.80149350852706e-06,3.56063462429855e-06,0.00138886079439429,6.73921279617174e-06
15,1,0,2.80149372062521e-06,8.07795700015263e-06,0.00138886083044127,6.64638947460617e-06
16,1,0,2.80149309850802e-06,5.06912119910172e-06,0.00138886077675593,6.85698986166574e-06
17,1,0,2.80149375941614e-06,1.19928610473626e-05,0.00138886086298547,6.59124550267127e-06
18,1,0,2.80149367390356e-06,7.17296703333098e-06,0.00138886085624839,6.66237628435925e-06
19,1,0,2.80149364843648e-06,6.20749190450734e-06,0.00138886082638483,6.68473279520935e-06
20,1,0,2.801493818572e-06,1.08331936426011e-05,0.00138886079433843,6.59913813221514e-06
21,1,0,2.80149328329553e-06,2.80515178573487e-06,0.00138886082435522,6.80407351475672e-06
22,1,0,2.80149352124245e-06,4.00326966135497e-06,0.00138886083711776,6.72531495435678e-06
23,1,0,2.80149369103503e-06,6.62780984956572e-06,0.00138886080192756,6.67212130616506e-06
24,1,0,2.80149283223573e-06,7.82963586276467e-06,0.00138886077375705,6.91544617271849e-06
25,1,0,2.80149372338522e-06,7.16802827149868e-06,0.00138886077028155,6.66584848864902e-06
26,1,0,2.80149378123425e-06,1.05105111237604e-05,0.00138886076949533,6.62047814653741e-06
27,1,0,2.80149289692562e-06,6.27410691913884e-06,0.00138886080646398,6.90512948691322e-06
28,1,0,2.80149301706885e-06,4.76898706368195e-06,0.00138886084132457,6.87251243707834e-06
29,1,0,2.80149369033413e-06,7.70727190664931e-06,0.00138886083903667,6.65824479697726e-06
30,1,0,2.80149371159882e-06,1.40978777535176e-05,0.00138886084378749,6.58457050020926e-06
31,1,0,2.80149371121113e-06,8.68193631392616e-06,0.00138886081694673,6.65044187771391e-06
32,1,0,2.8014936556049e-06,5.98681041436083e-06,0.00138886082749125,6.67992184528525e-06
33,1,0,2.80149331674642e-06,3.14186346690116e-06,0.00138886079260186,6.79829211488152e-06
34,1,0,2.80149375667543e-06,1.32208747323119e-05,0.00138886083050426,6.58438032079703e-06
35,1,0,2.80149355525851e-06,1.83413408059698e-05,0.00138886080428213,6.57619425436804e-06
36,1,0,2.80149369286135e-06,6.43447066670383e-06,0.00138886079055182,6.67466280564961e-06
37,1,0,2.80149358825061e-06,4.0922633107855e-06,0.00138886079708763,6.71686176991599e-06
38,1,0,2.80149359972928e-06,4.6597801456223e-06,0.00138886079379016,6.70802757973285e-06
39,1,0,2.80149347007389e-06,3.47213114207914e-06,0.00138886080135656,6.7490353066635e-06
40,1,0,2.80149365327771e-06,5.44548051607441e-06,0.00138886079547895,6.68972162299371e-06
41,1,0,2.8014935372919e-06,3.81834099234434e-06,0.00138886080556321,6.72794330671233e-06
42,1,0,2.80149359399453e-06,4.1379379993172e-06,0.00138886078979536,6.71574832016809e-06
43,1,0,2.80149378471289e-06,9.46576813134711e-06,0.0013888607370979,6.63644832616067e-06
44,1,0,2.80149373549723e-06,1.06336421249005e-05,0.00138886085953799,6.61418584983713e-06
45,1,0,2.80149374424416e-06,8.92638600900652e-06,0.00138886083439375,6.63125652511641e-06
46,1,0,2.80149373079568e-06,1.56938284391951e-05,0.00138886080265661,6.56437788057176e-06
47,1,0,2.80149368073174e-06,5.85740930602478e-06,0.00138886077797434,6.68394725400578e-06
48,1,0,2.80149363371428e-06,5.22030288027371e-06,0.00138886080919722,6.69384929478129e-06
49,1,0,2.80149374835948e-06,8.36006745979461e-06,0.00138886081222379,6.63877566425865e-06
50,1,0,2.80149369501039e-06,8.17549652015636e-06,0.00138886086598277,6.64682499798265e-06
