Run,Success,Crashed,RMSE_Alt,RMSE_Vx,RMSE_Phi,RMSE_Theta
1,1,0,2.80149368314161e-06,5.82561659758873e-06,0.00138886077409887,6.68175639690094e-06
2,1,0,2.80149347316429e-06,3.09905778578656e-06,0.00138886083586478,6.74426458482367e-06
3,1,0,2.8014937385178e-06,1.01399714774486e-05,0.00138886082826982,6.62541590150308e-06
4,1,0,2.80149371467542e-06,8.19348508307555e-06,0.00138886083122982,6.64798324632746e-06
5,1,0,2.80149289002025e-06,6.69274663246327e-06,0.00138886076895734,6.91099300420005e-06
6,1,0,2.80149379623122e-06,1.09208465587156e-05,0.00138886084728149,6.59454143824649e-06
7,1,0,2.8014934380804e-06,3.141345169079e-06,0.00138886086718257,6.74768556630414e-06
8,1,0,2.80149329047534e-06,4.0095700888276e-06,0.00138886089489371,6.78072004046283e-06
9,1,0,2.80149349460045e-06,3.35690134190442e-06,0.00138886085916504,6.73341359018774e-06
10,1,0,2.80149374002113e-06,1.09193333972573e-05,0.00138886084595453,6.61298279519135e-06
11,1,0,2.80149251415022e-06,9.89239687022765e-06,0.0013888607876104,6.9889710943377e-06
12,1,0,2.80149328914857e-06,2.27848157729597e-06,0.00138886084570762,6.80042172215765e-06
13,1,0,2.80149329383531e-06,3.66286106173978e-06,0.00138886079079382,6.8024758774373e-06
14,1,0,2.80149363758901e-06,4.66161535165883e-06,0.00138886076237098,6.70500510376119e-06
15,1,0,2.80149368786882e-06,6.4717858711288e-06,0.00138886080955537,6.66918225001406e-06
16,1,0,2.80149338289302e-06,4.4705294717689e-06,0.00138886082088887,6.7652012509035e-06
17,1,0,2.80149324660533e-06,2.72819836607952e-06,0.0013888608369818,6.81366473453405e-06
18,1,0,2.80149331278943e-06,2.81068216950988e-06,0.00138886082704195,6.79429031525102e-06
19,1,0,2.8014932797847e-06,9.85504208296486e-07,0.00138886079203649,6.82895265684959e-06
20,1,0,2.80149374873486e-06,1.22082506460077e-05,0.00138886081578145,6.60289943262742e-06
21,1,0,2.80149363428158e-06,5.12800290093864e-06,0.00138886080223968,6.69672959757395e-06
22,1,0,2.80149351823426e-06,3.59035374550848e-06,0.00138886080004453,6.7352267641272e-06
23,1,0,2.80149368352374e-06,1.67826436230291e-05,0.00138886079385013,6.56370625961612e-06
24,1,0,2.80149341989881e-06,4.32805825231892e-06,0.0013888608621475,6.74727551127977e-06
25,1,0,2.80149357057016e-06,4.14281445054028e-06,0.00138886081372489,6.7163782260701e-06
26,1,0,2.80149379661474e-06,1.15949689008223e-05,0.00138886081054249,6.59491616543821e-06
27,1,0,2.80149352745953e-06,3.58243123365087e-06,0.00138886084166021,6.73201816290348e-06
28,1,0,2.80149364730036e-06,4.85111931280766e-06,0.00138886076282524,6.70110019412092e-06
29,1,0,2.80149373283081e-06,1.55596812266446e-05,0.00138886078279118,6.56964121373569e-06
30,1,0,2.80149335074057e-06,2.99580637329777e-06,0.00138886085285707,6.77670351559436e-06
31,1,0,2.80149348157703e-06,3.67550409936867e-06,0.0013888608146595,6.74214428961039e-06
32,1,0,2.8014937065928e-06,7.2967743164865e-06,0.00138886080793479,6.66172875289834e-06
33,1,0,2.80149330240724e-06,2.31703920126336e-05,0.00138886082206175,6.55301077386016e-06
34,1,0,2.8014937435275e-06,1.10090084507584e-05,0.00138886086956266,6.60531868611529e-06
35,1,0,2.80149338566459e-06,3.87376418746865e-06,0.00138886084451943,6.76323298394118e-06
