Run,OK,RMSE_Pn,RMSE_Pe,RMSE_Pd,RMSE_u,RMSE_v,RMSE_w,RMSE_phi,RMSE_theta,RMSE_psi,RMSE_p,RMSE_q,RMSE_r
1,1,0.000165277992123049,0.0227982161843958,2.8014889410965e-06,5.06643101190104e-05,4.32293372656259e-09,3.57677634863353e-10,0.00138886091449719,6.89840748814691e-06,9.72130364625661e-10,1.487687601797e-10,1.70704334921103e-06,2.44505806249307e-09
2,1,0.000125683015615036,0.0227982187363669,2.80149182814792e-06,3.39545325264054e-05,8.44755501028792e-10,2.15961311069991e-10,0.00138886082968187,6.7295388088749e-06,7.27935908204023e-10,3.20454324159618e-11,1.25861814112045e-06,1.83788470496056e-09
3,1,0.000114061032899213,0.0227982116523969,2.80149201548538e-06,3.20037084985359e-05,1.04715790560003e-08,1.97642594594718e-10,0.00138886106420387,6.66805952326568e-06,6.6722596081773e-10,3.4996365334993e-10,1.15919758496556e-06,1.6813731646902e-09
4,1,1.49687191386239e-05,0.0227982236037873,2.80149346223778e-06,4.75109462963102e-06,5.76310539863121e-09,2.86669638354088e-11,0.00138886066957451,6.81127427311367e-06,8.63570502662514e-11,1.90395943472913e-10,1.43059237746359e-07,2.21145072354367e-10
5,1,0.000156829456419285,0.0227982149408543,2.80149062454582e-06,4.09229545232028e-05,5.98531246779054e-09,2.82731196253047e-10,0.00138886095456664,6.88624616184055e-06,8.95652136563158e-10,2.0233604740518e-10,1.53556134746152e-06,2.26520356080714e-09
6,1,0.00015203231803233,0.022798217812347,2.80148689969122e-06,3.8508145635728e-05,2.13271203329525e-09,3.52076888147285e-10,0.00138886086301163,7.86478556430633e-06,8.41220457160822e-10,6.65231567843062e-11,1.44481310227868e-06,2.12772355531681e-09
7,1,4.48873901337699e-05,0.0227982158430346,2.801492192886e-06,1.11765209598038e-05,4.79010634877924e-09,8.71382369253585e-11,0.00138886092687291,7.04588868664975e-06,2.38585456550145e-10,1.57144096700559e-10,4.13276229634952e-07,6.02810233161494e-10
8,1,0.000156146817900818,0.0227982156392413,2.80148576833284e-06,4.05851459856437e-05,5.07399772724593e-09,4.22088442602474e-10,0.00138886093465198,8.07152926726438e-06,8.7097039929928e-10,1.63301742738137e-10,1.50596939751843e-06,2.19984055112506e-09
9,1,6.09261217802729e-05,0.0227982269902706,2.80149147190012e-06,1.693393382422e-05,1.03566478598879e-08,1.42792874304299e-10,0.00138886055822709,7.26249326374433e-06,3.35189194467927e-10,3.44450499343483e-10,5.85888738413595e-07,8.42792086498219e-10
10,1,0.000301300318924024,0.0227982226077444,2.80148086043211e-06,7.76801844133205e-05,4.45020812081176e-09,6.57574928998608e-10,0.00138886069918665,7.9389589075679e-06,1.69907559313697e-09,1.39103724347703e-10,2.90338197808291e-06,4.30278385333594e-09
11,1,0.00132558319127664,0.0227982140891947,2.80134770565192e-06,0.00043327922758548,6.63083306302817e-09,1.011431584278e-08,0.00138886095570674,1.74857760243021e-05,6.98371939590941e-09,2.38832167519949e-10,1.1356347989225e-05,1.78920704129409e-08
12,1,0.0003356737302014,0.0227982182265577,2.80146970492316e-06,8.51782833933085e-05,1.60851182500603e-09,9.69147397460184e-10,0.00138886085181898,9.78401579347919e-06,1.86198100833911e-09,4.47388311894127e-11,3.17894592248741e-06,4.71586299651737e-09
13,1,0.000111894256523486,0.0227982262786097,2.80149044989663e-06,2.81048667326612e-05,9.35999401708085e-09,2.11181361842726e-10,0.00138886058296347,7.29512813006105e-06,6.06549299594342e-10,3.12167374694398e-10,1.02750343851375e-06,1.5376606727077e-09
14,1,0.000149090813599018,0.0227982119088129,2.80148625211751e-06,3.87223374733881e-05,1.01428639140025e-08,3.98505749853042e-10,0.00138886105793359,7.99147053808368e-06,8.306659557974e-10,3.31085957056561e-10,1.43681344075442e-06,2.09858641305955e-09
15,1,6.27177529919996e-05,0.0227982160873897,2.8014914880717e-06,1.60086447107398e-05,4.45914620388354e-09,1.31393658409505e-10,0.00138886091893994,7.18335756978235e-06,3.40684181616612e-10,1.45666869291271e-10,5.90368748574132e-07,8.60362944100712e-10
16,1,0.000257901731447084,0.0227982159665071,2.80147804417977e-06,6.54007139234584e-05,4.6584260009277e-09,6.89770330889474e-10,0.00138886092542981,8.92775926750991e-06,1.43120939299693e-09,1.47247209368782e-10,2.44960363127112e-06,3.62315987108375e-09
17,1,3.26372645688967e-05,0.0227982167663911,2.8014927433195e-06,7.61509214450635e-06,3.53998781806664e-09,5.36649044878507e-11,0.00138886089632817,6.92063052724955e-06,1.6638227310645e-10,1.16274723588361e-10,2.84625206869832e-07,4.21680126520715e-10
18,1,1.87231186702479e-05,0.0227982169100308,2.8014927547732e-06,6.20697450492596e-06,3.33409200919193e-09,5.1844530516536e-11,0.00138886089115866,6.9616914448332e-06,9.01517163847392e-11,1.097687033691e-10,1.61937343271043e-07,2.26028995703002e-10
19,1,2.74363086228701e-05,0.0227982217348368,2.80149293387625e-06,6.29702072280985e-06,3.21224110645622e-09,4.47076308342167e-11,0.00138886073195451,6.90924620822942e-06,1.37765321368876e-10,1.07031491223131e-10,2.36098749491709e-07,3.48134855438094e-10
20,1,7.66395534414964e-05,0.0227982186892133,2.80149062496434e-06,2.06908207904261e-05,9.24031981406239e-10,1.87853585132147e-10,0.00138886083288898,7.37240136114544e-06,4.23432487315844e-10,2.84694634972818e-11,7.38232115001523e-07,1.06716139251528e-09
21,1,0.000239145196138326,0.0227982134770929,2.80147826618135e-06,6.16663261514127e-05,8.02625271243972e-09,7.37321167892655e-10,0.00138886100710909,8.99206642091087e-06,1.33705480457413e-09,2.58648131142715e-10,2.30467576502379e-06,3.37959651643884e-09
