Run,Converged,RMSE_Z,RMSE_Y
1,1,2.80149332771934e-06,0.0227982193669565
2,1,2.8014933243812e-06,0.0227982193671373
3,1,2.80149332611119e-06,0.0227982193670961
4,1,2.80149332570427e-06,0.0227982193672775
5,1,2.80149332322681e-06,0.0227982193670485
6,1,2.80149334270309e-06,0.0227982193674805
7,1,2.80149334156613e-06,0.0227982193672594
8,1,2.80149334136154e-06,0.0227982193674379
9,1,2.80149333795826e-06,0.0227982193673724
10,1,2.8014932562005e-06,0.0227982193660265
11,1,0.310560004633383,0.238079596561132
12,1,2.80149341809267e-06,0.0227982193687959
13,1,2.80149334340624e-06,0.0227982193674922
14,1,2.80149334148936e-06,0.0227982193673698
15,1,2.80149333770368e-06,0.0227982193672906
16,1,2.80149336364286e-06,0.0227982193678747
17,1,2.80149334176526e-06,0.0227982193672785
18,1,2.80149333572139e-06,0.0227982193672379
19,1,2.80149334265684e-06,0.022798219367311
20,1,2.80149333640154e-06,0.022798219367306
21,1,2.80149336045855e-06,0.02279821936776
22,1,2.80149333161239e-06,0.0227982193671842
23,1,2.80149332340723e-06,0.0227982193673263
24,1,2.80149338099946e-06,0.0227982193681405
25,1,2.80149332403367e-06,0.0227982193670321
26,1,2.80149332512151e-06,0.0227982193672816
27,1,2.80149334164519e-06,0.0227982193672574
28,1,2.80149332631065e-06,0.0227982193672086
29,1,2.80149195596304e-06,0.0227982193580711
30,1,2.80149332592109e-06,0.0227982193670787
31,1,2.80149333668926e-06,0.0227982193673424
32,1,2.80149334722182e-06,0.0227982193676223
33,1,2.80149334338934e-06,0.0227982193674113
34,1,2.80149340487811e-06,0.0227982193685575
35,1,2.80149330848621e-06,0.0227982193666875
36,1,2.80149333772454e-06,0.0227982193673246
37,1,2.8014933255654e-06,0.0227982193671626
38,1,2.80149334208646e-06,0.0227982193672671
39,1,2.80149333830369e-06,0.0227982193673359
40,1,2.80149332387039e-06,0.0227982193670458
41,1,2.80149333004035e-06,0.0227982193672372
42,1,2.80149332507188e-06,0.0227982193671767
43,1,2.80149332796334e-06,0.0227982193671505
44,1,2.80149332757178e-06,0.0227982193670521
45,1,2.80149333738334e-06,0.022798219367321
46,1,2.80149332660395e-06,0.0227982193670024
47,1,2.80149332482923e-06,0.0227982193670538
48,1,2.80149334342591e-06,0.0227982193672754
49,1,2.80149356425649e-06,0.0227982193735851
50,1,2.80149335430642e-06,0.0227982193677034
51,1,2.80149332958434e-06,0.0227982193670869
52,1,2.80149333938446e-06,0.0227982193673565
53,1,2.80149337910802e-06,0.0227982193681932
54,1,2.80149332915506e-06,0.0227982193674594
55,1,2.80149332695152e-06,0.0227982193672586
56,1,2.80149321404174e-06,0.0227982193655964
57,1,2.80149329347873e-06,0.0227982193664687
58,1,2.80149334201757e-06,0.0227982193674897
59,1,2.80149332836651e-06,0.0227982193672096
60,1,2.80149340296447e-06,0.0227982193686062
61,1,2.80149332481939e-06,0.022798219367182
62,1,2.80149333907561e-06,0.022798219367687
63,1,2.80149340407295e-06,0.0227982193685782
64,1,2.80149333767538e-06,0.0227982193672995
65,1,2.8014933293111e-06,0.0227982193672543
66,1,2.80149332414258e-06,0.0227982193670727
67,1,2.80149334329407e-06,0.0227982193674885
68,1,2.8014933259235e-06,0.0227982193671694
69,1,2.80149332893643e-06,0.0227982193673217
70,1,2.80149334142933e-06,0.0227982193674137
71,1,2.80149328902321e-06,0.0227982193664787
72,1,2.80149332473952e-06,0.0227982193670304
73,1,2.80149334134509e-06,0.0227982193674813
74,1,2.80149340916753e-06,0.0227982193688107
75,1,2.80149343099545e-06,0.0227982193689771
76,1,2.80149332555448e-06,0.0227982193671866
77,1,2.80149334254566e-06,0.0227982193673248
78,1,2.8014933284739e-06,0.0227982193671599
79,1,2.8014929053739e-06,0.0227982193622288
80,1,2.80149333800959e-06,0.0227982193673405
81,1,2.80149333694535e-06,0.0227982193673689
82,1,2.80149333695389e-06,0.0227982193672652
83,1,0.432072379661846,0.0897973139358093
84,1,2.8014933312312e-06,0.0227982193672568
85,1,2.80149333825755e-06,0.0227982193673111
86,1,2.80149333305034e-06,0.0227982193672818
87,1,2.80149338783481e-06,0.0227982193681132
88,1,2.80149333807197e-06,0.0227982193674291
89,1,2.80149332861738e-06,0.0227982193672187
90,1,2.80149334105993e-06,0.0227982193673642
91,1,2.80149332872956e-06,0.0227982193671541
92,1,2.80149334239887e-06,0.0227982193674958
93,1,2.80149357039005e-06,0.0227982193725161
94,1,2.80149334138873e-06,0.0227982193671784
95,1,2.80149332488444e-06,0.0227982193671251
96,1,2.80149334233824e-06,0.0227982193672881
97,1,2.80149332836942e-06,0.0227982193672495
98,1,2.80148548413075e-06,0.0227982193886476
99,1,2.8014933397511e-06,0.0227982193674584
100,1,0.426152194750412,0.059175048806766
