Run,Converged,RMSE_Z,RMSE_Y,RMSE_p_RollRate,RMSE_q_PitchRate,RMSE_r_YawRate
1,0,NaN,NaN,NaN,NaN,NaN
2,1,0.000106529105642803,12.3649223509438,2.28902856392543e-17,7.99906803117478e-08,2.55874988220226e-15
3,1,0.000125348033457329,86.9666640691811,3.70297893229718e-17,7.28966392419176e-08,2.49930179891192e-15
4,1,1.14010161818625e-05,85.1088036284744,1.16881912098038e-15,7.50566917671376e-08,3.59135708442672e-15
5,0,NaN,NaN,NaN,NaN,NaN
6,0,NaN,NaN,NaN,NaN,NaN
7,0,NaN,NaN,NaN,NaN,NaN
8,0,NaN,NaN,NaN,NaN,NaN
9,0,NaN,NaN,NaN,NaN,NaN
10,1,6.83172023472136e-05,52.3938739425215,1.32644602814036e-17,4.17979791890558e-07,5.89674357169804e-16
11,0,NaN,NaN,NaN,NaN,NaN
12,0,NaN,NaN,NaN,NaN,NaN
13,1,4.74262643288797e-05,45.0413052349329,2.29885377474607e-17,7.3169693183715e-08,2.58858331266477e-15
14,1,9.71285915986778e-05,139.843853648878,3.31615545436227e-11,6.50163005844353e-08,7.33345114273064e-11
15,1,2.48666575159537e-05,37.2644468249466,2.46458827680814e-17,6.88023806890403e-08,2.72910131469412e-15
16,0,NaN,NaN,NaN,NaN,NaN
17,0,NaN,NaN,NaN,NaN,NaN
18,1,0.000121314852519285,105.297015087394,1.67319945991787e-14,7.50978917481702e-08,3.67134894663581e-14
19,0,NaN,NaN,NaN,NaN,NaN
20,1,8.43827939280938e-05,53.4679460651659,2.3560031660281e-17,8.22899144195476e-08,2.56307713073148e-15
21,0,NaN,NaN,NaN,NaN,NaN
22,0,NaN,NaN,NaN,NaN,NaN
23,1,5.9749308439269e-06,8.79962424564757,2.2826491568605e-17,8.5315408582265e-08,2.72325266689127e-15
24,0,NaN,NaN,NaN,NaN,NaN
25,1,0.000170951181442373,19.862361520859,2.29254918680404e-17,8.48914767676161e-08,2.51658463983267e-15
26,0,NaN,NaN,NaN,NaN,NaN
27,0,NaN,NaN,NaN,NaN,NaN
28,0,NaN,NaN,NaN,NaN,NaN
29,0,NaN,NaN,NaN,NaN,NaN
30,0,NaN,NaN,NaN,NaN,NaN
31,1,1.55832212327162e-05,86.4649826692226,7.39949081919611e-16,7.2536190257958e-08,2.87477431926489e-15
32,0,NaN,NaN,NaN,NaN,NaN
33,0,NaN,NaN,NaN,NaN,NaN
34,1,0.000152007666031092,81.0107719503264,2.39329483745477e-17,6.40894537588859e-08,2.61433517082732e-15
35,0,NaN,NaN,NaN,NaN,NaN
36,0,NaN,NaN,NaN,NaN,NaN
37,0,NaN,NaN,NaN,NaN,NaN
38,1,6.8445638226761e-05,80.5933531215396,1.00828720548925e-16,7.31694059760687e-08,3.0027756751403e-15
39,0,NaN,NaN,NaN,NaN,NaN
40,1,4.49706007023333e-05,69.2417821474402,2.31404735253932e-17,7.25874959700817e-08,3.07318004992897e-15
41,1,0.000198535369713985,98.8043390955989,3.38814797653225e-15,1.13222509578328e-07,7.43132575308089e-15
42,1,4.2468969301614e-05,64.9094120829755,2.37074864238625e-17,6.73261421359887e-08,2.58406361647968e-15
43,1,2.79437002793525e-05,145.215244138798,1.2581460268575e-12,7.77185219597244e-08,2.77302669497993e-12
44,0,NaN,NaN,NaN,NaN,NaN
45,1,5.84199656773151e-05,130.909596749495,8.64525222652174e-14,8.09560338201037e-08,1.89776414739541e-13
46,0,NaN,NaN,NaN,NaN,NaN
47,1,4.2946900147427e-05,69.8119863804103,2.30530481823223e-17,6.94472484180994e-08,2.45693161532651e-15
48,1,5.9817827573893e-05,45.3903298987058,1.3124166551295e-17,3.16220449153201e-06,5.93492860991898e-16
49,1,0.000101968983456594,80.1216653221975,6.10389441717311e-17,8.61845274021358e-08,2.73654902067784e-15
50,1,9.48954021756466e-05,43.2976885062416,2.29787998190476e-17,7.05475355424857e-08,2.59493116967282e-15
51,1,8.42030920702818e-05,18.0580285066893,1.35665640345676e-17,9.49850193782524e-08,6.28882467943878e-16
52,0,NaN,NaN,NaN,NaN,NaN
53,0,NaN,NaN,NaN,NaN,NaN
54,0,NaN,NaN,NaN,NaN,NaN
55,0,NaN,NaN,NaN,NaN,NaN
56,1,4.61000978825183e-05,18.4067817550597,2.17749180664192e-17,8.3471399621863e-08,2.47260451161209e-15
57,0,NaN,NaN,NaN,NaN,NaN
58,0,NaN,NaN,NaN,NaN,NaN
59,0,NaN,NaN,NaN,NaN,NaN
60,1,4.93536209262796e-05,113.003468124597,1.24685933544931e-13,6.90946538297289e-08,2.73821982685029e-13
61,1,2.21050673939782e-05,41.8497351970118,2.25650066955518e-17,8.21386143653633e-08,2.70246034033922e-15
62,1,1.54971389379167e-06,86.6339198351483,2.77289632558182e-17,8.43049955605239e-08,2.56993033906748e-15
63,0,NaN,NaN,NaN,NaN,NaN
64,0,NaN,NaN,NaN,NaN,NaN
65,0,NaN,NaN,NaN,NaN,NaN
66,1,9.40107519093377e-05,30.7981615468616,2.27861457808249e-17,8.17208634829489e-08,2.76866926929062e-15
67,0,NaN,NaN,NaN,NaN,NaN
68,0,NaN,NaN,NaN,NaN,NaN
69,0,NaN,NaN,NaN,NaN,NaN
70,0,NaN,NaN,NaN,NaN,NaN
71,1,3.26384404654741e-05,51.9287045844763,2.20057197861233e-17,7.91561988450705e-08,2.49458452188854e-15
72,0,NaN,NaN,NaN,NaN,NaN
73,1,6.23209138670238e-05,61.9182808988725,2.13373879446466e-17,6.60924161302095e-08,2.51804934661626e-15
74,0,NaN,NaN,NaN,NaN,NaN
75,1,5.5357558997621e-05,55.6929638270523,2.24173362685981e-17,8.47421676514203e-08,2.62697518064833e-15
76,1,0.000148684846676016,25.8126320323241,2.20830976321723e-17,6.72938938713394e-08,2.4903110592329e-15
77,0,NaN,NaN,NaN,NaN,NaN
78,0,NaN,NaN,NaN,NaN,NaN
79,1,0.000126586611765934,100.547205519792,6.27836118445665e-14,7.25273564636674e-08,1.37725855207458e-13
80,1,0.000113180597825445,67.2219340990417,2.74183302612403e-17,7.87264815017291e-08,2.58467989198033e-15
81,1,0.000106981481477574,100.665013334378,3.66681594263562e-14,1.03387225213892e-07,8.03285836385128e-14
82,0,NaN,NaN,NaN,NaN,NaN
83,1,0.000116617988744047,88.6338652894352,8.11647143477557e-15,8.46830770949697e-08,1.79704809075076e-14
84,0,NaN,NaN,NaN,NaN,NaN
85,0,NaN,NaN,NaN,NaN,NaN
86,0,NaN,NaN,NaN,NaN,NaN
87,0,NaN,NaN,NaN,NaN,NaN
88,1,7.76397913939813e-05,75.3717457127855,2.28364532572407e-17,7.13175285660782e-08,2.81600538966948e-15
89,1,0.000141505527411785,89.3619570620913,2.25791223390873e-17,8.44773503820021e-08,2.76651851457501e-15
90,0,NaN,NaN,NaN,NaN,NaN
91,0,NaN,NaN,NaN,NaN,NaN
92,1,0.0001324245427733,81.5480410574685,1.1334121628405e-15,7.3014997221503e-08,3.63991349954359e-15
93,1,0.000119323678790342,48.5972205754505,2.28337456343122e-17,6.30521854046529e-08,2.67670546431265e-15
94,1,7.79929619870441e-05,37.9300134762759,2.38461484954153e-17,7.05529733453054e-08,2.88123582291133e-15
95,1,0.000141827837671192,22.4335221005025,2.20890383811899e-17,6.63457565159963e-08,2.62676606313192e-15
96,1,2.07597864310581e-05,8.49207623243878,2.15669579398412e-17,6.99606044242416e-08,2.53759085631358e-15
97,0,NaN,NaN,NaN,NaN,NaN
98,0,NaN,NaN,NaN,NaN,NaN
99,0,NaN,NaN,NaN,NaN,NaN
100,1,7.6396946239082e-05,134.220376336021,3.00375916525706e-14,7.99264711745584e-08,6.58393201337419e-14
