Run,Converged,RMSE_X,RMSE_Z,RMSE_Y,RMSE_p_RollRate,RMSE_q_PitchRate,RMSE_r_YawRate
1,1,6.02675836812036e-06,4.46528888388522e-14,0.0227985841547899,4.18384606531047e-09,5.35034914028168e-08,1.00628027345095e-10
2,1,3.16281950152477e-06,9.20700978531899e-15,0.0227985841533549,4.18315940379355e-09,2.31964446436477e-08,7.21075433290728e-11
3,1,2.49606367648351e-06,8.16297029310762e-15,0.0227985841517401,4.18318892241317e-09,1.83240460114672e-08,6.80028300646865e-11
4,1,1.35799593741224e-06,8.79109353313448e-15,0.0227985841524629,4.18191875181047e-09,1.06161177392572e-08,6.29251869496039e-11
5,1,1.4660548699397e-06,8.79609863335318e-15,0.0227985841524515,4.18663336678261e-09,1.15704065576167e-08,6.34660822778272e-11
6,1,2.36933767546692e-07,7.02765283437532e-15,0.0227985841523259,4.17801579202848e-09,1.97169792698202e-09,6.03423932016362e-11
7,1,1.45234136342573e-06,8.81825539042021e-15,0.0227985841526024,4.18078738653069e-09,1.1521753019924e-08,6.33727385326075e-11
8,1,2.91702493881092e-06,4.44421993239718e-15,0.0227985841529082,4.18261353301385e-09,2.15639713349044e-08,7.06959455251313e-11
9,1,2.22105889986132e-06,3.49552740078025e-15,0.0227985841526313,4.18224755440363e-09,1.6996469222377e-08,6.66362950610403e-11
10,1,8.69772801981715e-08,5.32907051820075e-15,0.0227985841522083,4.179765208219e-09,7.13910290508529e-10,6.03155612181577e-11
11,1,2.2023519206064e-08,7.105427357601e-15,0.0227985841521748,4.1884806025398e-09,1.7364869695681e-10,6.04385312044771e-11
12,1,8.35159610044994e-06,8.40777704062734e-14,0.0227985841557978,4.18385071554427e-09,7.75021793797618e-08,1.28725757433065e-10
13,1,2.24021223208292e-06,5.26561755510397e-15,0.0227985841525897,4.18354089895615e-09,1.6927822773406e-08,6.67013217432136e-11
14,1,3.7534060203517e-06,1.5453737263756e-14,0.0227985841533092,4.14999367865881e-09,2.77318591491274e-08,7.59122518239199e-11
15,1,9.66258714233791e-07,1.0549074417537e-14,0.0227985841524272,4.18152092290062e-09,7.67580604453397e-09,6.17061436163466e-11
16,1,1.30190598787956e-06,8.79793109907843e-15,0.0227985841521243,4.1902952168479e-09,1.0134467447936e-08,6.26963008270195e-11
17,1,0.000110687436981324,9.20541806744837e-12,0.0227985841386148,4.17695601008777e-09,1.07271533737624e-06,1.57957073130752e-09
18,1,2.87774097861866e-06,8.28622219453506e-15,0.022798584151651,4.18747399320192e-09,2.14430754246999e-08,7.06674673760509e-11
19,1,9.18393078685646e-08,7.105427357601e-15,0.0227985841522437,4.18151723267501e-09,6.72358033803456e-10,6.03500124703611e-11
20,1,2.99710116010008e-06,8.29577632939299e-15,0.0227985841516567,4.18522756816463e-09,2.23671384140947e-08,7.13953680220809e-11
21,1,5.63139113509982e-06,3.90940406764337e-14,0.0227985841546269,4.18309164915349e-09,4.90382588836949e-08,9.5958545580833e-11
22,1,3.27880603631933e-06,6.80268552028215e-15,0.0227985841530318,4.18239827470537e-09,2.40863308866707e-08,7.30350335047888e-11
23,1,1.78905034478032e-06,1.69925041817014e-16,0.0227985841526587,4.18066370923275e-09,1.35468785628731e-08,6.43454889252462e-11
24,1,2.02336304650702e-06,5.28121338929225e-15,0.0227985841528061,4.17948387860435e-09,1.50483264867611e-08,6.5417106019361e-11
25,1,2.64367360537982e-05,6.60477066695625e-13,0.0227985841598303,4.18179863884783e-09,2.83266846929345e-07,3.9658026876163e-10
26,1,2.28160472419293e-06,5.27594704732733e-15,0.0227985841526256,4.18655758513516e-09,1.72254640208848e-08,6.68987901245738e-11
27,1,3.29964434719599e-06,8.85747821354814e-15,0.0227985841518212,4.17961899168764e-09,2.47178641840402e-08,7.34820994076162e-11
28,1,5.37983419256609e-07,1.05490273657422e-14,0.0227985841525682,4.18262369117315e-09,3.95266137415973e-09,6.07136907795936e-11
29,1,4.09018384249395e-06,2.2200695994711e-14,0.0227985841538422,4.18441272641079e-09,3.30045178097761e-08,7.95849827107032e-11
30,1,8.7275736677523e-07,1.77635683940025e-15,0.0227985841520978,4.18222688015541e-09,7.01103149398115e-09,6.14977855946537e-11
31,1,1.32172092526141e-07,5.27972463449285e-15,0.0227985841523428,4.17946119446311e-09,1.00536674085936e-09,6.03276102211829e-11
32,1,1.64461143209171e-07,8.77454007098303e-15,0.0227985841523583,4.18319633137318e-09,1.39200298762844e-09,6.04177672739001e-11
33,1,5.30536342242024e-06,3.47036518024637e-14,0.0227985841545898,4.18446817002944e-09,4.41084300632425e-08,9.15991700085453e-11
34,1,2.52030700611668e-05,5.99610746840713e-13,0.0227985841592375,4.18278844528554e-09,2.69267854581608e-07,3.7825401239065e-10
35,1,4.65748164067451e-06,2.15728688762646e-14,0.0227985841508589,4.1792861710963e-09,3.41991498942568e-08,8.37125795490454e-11
36,1,3.34199132770719e-07,1.76155573432806e-15,0.0227985841522648,4.18640217992196e-09,2.69789973367885e-09,6.05352521231091e-11
37,1,1.2899462443553e-06,8.78667821986262e-15,0.0227985841526355,4.17802250909386e-09,1.00298969214136e-08,6.26599284767043e-11
38,1,1.0778291303799e-06,1.05737142420032e-14,0.0227985841521043,4.17870156252352e-09,8.64882742687758e-09,6.18629106048317e-11
39,1,83.2426636893584,0.141358362467366,0.0152837285347415,0.000319406341890068,0.451473152575001,0.000186464457202452
40,1,1.22897128814824e-06,5.34594333913109e-15,0.0227985841522889,4.17916062062406e-09,9.63339595037029e-09,6.22521223586535e-11
41,1,1.43775646541975e-05,2.04103709384019e-13,0.0227985841580216,4.18243995111734e-09,1.50989729130136e-07,2.16611994543459e-10
42,1,2.58207053043006e-06,8.01260913128205e-15,0.0227985841531184,4.18276239674834e-09,1.90439436608092e-08,6.84606925675809e-11
43,1,84.3090112092494,0.141417634095379,0.0152920872176788,0.000323680810697607,0.455606984443008,0.000185754256682604
