Run,Converged,RMSE_X,RMSE_Z,RMSE_Y,RMSE_p_RollRate,RMSE_q_PitchRate,RMSE_r_YawRate
1,1,NaN,0.00819217304041475,4.92557044273228,8.11876472623537e-11,6.46469815834453e-09,2.27873814445109e-08
2,1,NaN,0.00485166281062565,0.0308062597915739,8.61676212246858e-11,1.06378150199204e-08,2.31710482561696e-08
3,1,NaN,209.670671517171,10.9476347456749,2.74533556371047e-13,1.01379787732857e-05,3.34018576335755e-13
4,1,NaN,0.00508495338028862,2.67554473118799,8.67515052032211e-11,1.088003511782e-08,2.30882314660246e-08
5,1,NaN,326.413222151463,8.21023444794676,1.56287616318111e-16,1.01202973096754e-05,7.64375806989599e-16
6,1,NaN,0.00281762006467144,1.58807732569969,1.00012514145146e-10,1.52963055756758e-08,2.22355080985602e-08
7,1,NaN,344.237071672292,0.700142474665401,5.78119040559024e-14,1.0133380916617e-05,5.43283737450875e-14
8,1,NaN,293.515924090664,78.0032579982502,2.56160250307281e-07,1.01345395983475e-05,5.70633942440755e-07
9,1,NaN,0.00507433873533061,12.6182082137828,1.10999347557667e-10,1.26239823178217e-08,2.14827178960738e-08
10,1,NaN,0.00241892058662024,29.66039439597,2.49742409570713e-10,1.21750175280276e-08,2.23414153156786e-08
11,1,NaN,0.0116508026588337,4.70652392380734,7.94785389150282e-11,1.17217467997967e-08,2.1968253117901e-08
12,1,NaN,193.468960602937,4.47415755689245,2.60078650906036e-14,1.01326960943871e-05,2.76702402900019e-14
13,1,NaN,195.802651318912,3.07472064851574,1.54544706688531e-13,1.01342937556756e-05,1.61431023666918e-13
14,1,NaN,0.00171753169706123,10.5318778511468,2.4039984980988e-08,1.05391535538265e-08,4.05407733522904e-08
15,1,NaN,332.910178138238,7.36236439540626,5.12305023231804e-15,1.01270239169082e-05,1.03360411284879e-14
16,1,NaN,201.940620283018,23.1529488055105,2.35889674280648e-12,1.01348600001917e-05,5.12838744892945e-12
17,1,NaN,0.000644424378128019,35.7337372780374,1.03399855711378e-09,1.12006607730956e-08,2.45528373544701e-08
18,1,NaN,0.000618481397711354,50.3793940797294,6.7574286056419e-09,1.49962936219703e-08,2.47207155332251e-08
19,1,NaN,197.379697898265,8.34267684638805,2.68807931401202e-13,1.01344946611657e-05,2.45713508593354e-13
20,1,NaN,350.192129774206,6.35218457182912,9.61326107734922e-15,1.01334963010294e-05,2.23146748682367e-14
21,1,NaN,0.00458365687651193,0.45687101029036,8.71509519943356e-11,1.32281558101897e-08,2.38391699598614e-08
22,1,NaN,0.00622332232526358,3.90405101918864,8.74392265079473e-11,1.38678909070001e-08,2.36003646449255e-08
23,1,NaN,328.756782594286,24.3293764702514,1.07336433370364e-10,1.01204103725406e-05,1.43830449436228e-10
24,1,NaN,320.637177333751,18.7719492644357,7.11253816355751e-13,1.0134836929444e-05,1.00944740929288e-12
25,1,NaN,327.732487647063,2.36389634443482,1.23845289164714e-16,1.01450324131009e-05,6.6828896340687e-16
26,1,NaN,342.89172508125,1.16602706647039,3.23380869051804e-14,1.01346326883355e-05,3.0228646379424e-14
27,1,NaN,0.00120140270388945,6.8712374565196,2.9475155144444e-10,6.64190643747239e-09,2.27837484762253e-08
28,1,NaN,0.00113517034029742,37.2887750185317,1.13904263961429e-08,1.58110634727631e-08,2.76304234067831e-08
29,1,NaN,215.591459401471,3.75753955994507,6.63125179904944e-14,1.01334615050934e-05,9.61385351597804e-14
30,1,NaN,327.414164463533,19.1299618105264,6.16196121274727e-13,1.01198409796562e-05,7.58535108613722e-13
31,1,NaN,0.000643160614686724,51.864207883353,2.67100825876972e-09,8.61217501098798e-09,2.46446023486806e-08
32,1,NaN,330.279402606569,9.25152635995583,3.93751689372961e-16,1.01346640202634e-05,7.64584194305272e-16
33,1,NaN,0.00563342123283421,73.5621287718809,7.49511824950675e-08,1.1837992719782e-08,1.20326183706386e-07
34,1,NaN,201.137729875486,2.21094459802839,8.57810551340511e-14,1.01469523536327e-05,8.72259304058008e-14
35,1,NaN,0.00149184327063086,33.22699232691,3.13646251876256e-10,7.09200811055336e-09,2.23152510815443e-08
36,1,NaN,332.188270693501,2.85759996194086,2.35670082381502e-15,1.0135628392155e-05,4.71421096770634e-15
37,1,NaN,274.616397050377,116.331897970646,9.23007884791171e-06,1.01591046022147e-05,7.32102245490399e-06
38,1,NaN,330.031513984594,9.06067681907986,3.09459636580811e-14,1.01293619754106e-05,4.9730601123542e-14
39,1,NaN,0.00213947815835048,21.4604799156281,1.39858465771839e-10,8.61211244705787e-09,2.27099811128537e-08
40,1,NaN,0.00250630657169485,14.8935724646051,1.06175487627854e-10,8.86040170298152e-09,2.15322794264646e-08
41,1,NaN,0.000991469925254717,11.5401356394529,1.62106727210535e-10,7.69671390748722e-09,2.24930347642504e-08
42,1,NaN,0.00131086278204517,5.44980287633345,6.77094875208332e-10,1.47650981379423e-08,2.26230771007282e-08
43,1,NaN,204.172554400346,12.2785854325294,4.41288438139905e-14,1.01382002079162e-05,4.21793282585602e-14
44,1,NaN,212.823747897633,1.42849047934972,2.38400900381255e-13,1.01334153392719e-05,3.25871387000577e-13
45,1,NaN,0.00459280188179075,1.30951679632468,8.44713322689085e-11,1.39901038649235e-08,2.3171662019468e-08
46,1,NaN,346.392215503251,10.9156131610013,4.07826743670451e-15,1.01334563246335e-05,8.62119553074617e-15
47,1,NaN,0.00810250061278259,38.4613255938305,8.65281406323796e-07,4.73174058705191e-08,8.46430943500509e-07
48,1,NaN,289.153985227309,86.4047102486129,9.17735590001318e-07,1.01377067521675e-05,7.33925702231419e-07
49,1,NaN,286.162601641048,77.4091869872095,1.66240975191794e-06,1.01430763954409e-05,2.29999961113934e-06
50,1,NaN,0.0125540554357984,4.0410985175522,7.9118490449788e-11,1.3874313695399e-08,2.19976917773318e-08
51,1,NaN,0.000160880842884157,38.2078641599872,8.69227464227844e-10,6.53447409354532e-09,2.37723168751588e-08
52,1,NaN,319.151122385511,16.735562330003,1.11855414723607e-11,1.01347078688008e-05,2.02265895704802e-11
53,1,NaN,0.0052004237423913,6.94928391398617,4.00614141022771e-10,1.27771096238065e-08,2.24649984456511e-08
54,1,NaN,0.00121975875144809,13.165218697165,3.37228812629611e-10,1.55400066561113e-08,2.36116506482607e-08
55,1,NaN,0.00232972211563734,3.78963599307343,1.30436331608441e-10,1.32584871549501e-08,2.23928730547176e-08
56,1,NaN,331.628207912825,4.67401163150989,9.32254470767463e-17,1.01491202361424e-05,6.6333127467858e-16
57,1,NaN,316.320164857791,28.4775430987569,3.14598353628604e-10,1.01327099507146e-05,3.66930332303412e-10
58,1,NaN,301.81874679918,35.6406148133339,1.54357040529218e-08,1.01335125622153e-05,2.64854581708529e-08
59,1,NaN,0.00381518861312407,15.3414991493336,9.19598502513265e-11,1.05853113550229e-08,2.43087867352195e-08
60,1,NaN,0.000823142134292587,20.7136921278014,5.51595136503511e-09,1.02320266017695e-08,2.49249855093119e-08
61,1,NaN,0.00223910147447381,15.2200371027605,5.74153071188304e-10,1.11183352578708e-08,2.265764059153e-08
62,1,NaN,328.457018482693,2.19946130870569,1.58788335193002e-14,1.01340807054965e-05,3.84823806861739e-14
63,1,NaN,0.00274403425836006,15.2479382726269,4.76296380275788e-10,6.17124069352391e-09,2.24308455804944e-08
64,1,NaN,203.36725255527,8.13787387110566,6.62846373035639e-13,1.01331594854902e-05,6.98747767595039e-13
65,1,NaN,291.43059080156,76.8651606369296,2.99802157833616e-07,1.01242816437134e-05,6.74948056353179e-07
66,1,NaN,0.0107563738120128,13.0714821510773,8.43731482344826e-11,1.76311758270276e-08,2.42264284322325e-08
67,1,NaN,195.267049482318,16.0609455664992,7.31258129927655e-12,1.0135660569317e-05,6.34388564832523e-12
68,1,NaN,0.000343931923690747,16.3106925611892,1.34754754070807e-09,1.21167509278015e-08,2.2677670481859e-08
69,1,NaN,333.60990805091,4.47897712019552,5.26932995886787e-15,1.01285671947534e-05,6.78057908002483e-15
70,1,NaN,325.021239199899,25.9210830113592,2.96822309752035e-13,1.01351580816319e-05,2.44471936372666e-13
71,1,NaN,317.360190923248,40.0820380399734,1.44400250880967e-09,1.01228704791302e-05,3.21063834024782e-09
72,1,NaN,0.00136708663612819,2.64712666448631,1.20907391567222e-08,8.52798450641211e-09,2.61350403493138e-08
73,1,NaN,329.364703002126,27.5276692843083,1.35080467280264e-10,1.01351302878737e-05,3.22764359959299e-10
74,1,NaN,290.992852725753,87.13428257436,3.50466199997188e-07,1.00792951042124e-05,7.05364037921237e-07
75,1,NaN,0.00559139062237731,0.251080570605858,8.3101823278017e-11,1.21345401287133e-08,2.33582264538142e-08
76,1,NaN,201.579958441058,3.75979696767521,1.54410483933931e-15,1.01330062173406e-05,2.84899666151634e-15
77,1,NaN,319.931531941638,12.1243106493925,5.68276604621676e-13,1.01387940629022e-05,5.74493901153033e-13
78,1,NaN,320.657042442311,3.30139572146362,1.00160065680934e-13,1.01340547089572e-05,2.27504402572569e-13
79,1,NaN,324.286079192944,6.79454924629114,7.75704944715175e-16,1.01211159305834e-05,9.61705332342731e-16
80,1,NaN,0.00162094553658181,17.8108800117637,2.38036018338115e-10,8.1892483373031e-09,2.35606869926184e-08
81,1,NaN,301.472324255599,77.8549713329994,2.5114233731782e-07,1.01354731824202e-05,4.92701505688462e-07
82,1,NaN,312.881817643162,52.1242948528876,1.39668672244778e-08,1.01347257496834e-05,1.84712767174149e-08
83,1,NaN,0.0087314460610527,78.0825277335945,1.15256515195324e-07,2.14572137543867e-08,1.98823411443558e-07
84,1,NaN,344.591893553511,13.3835213434556,5.12858459194804e-14,1.01351542356379e-05,7.30052233923348e-14
85,1,NaN,318.942556882397,38.6824190131821,3.48819870918032e-09,1.01346311963939e-05,4.14057035399993e-09
86,1,NaN,0.000995441310274559,15.7909270486647,6.54077116951533e-10,9.7894243265774e-09,2.28983361700907e-08
87,1,NaN,0.00139138296054306,19.132995202163,1.35218429865818e-08,8.68886421890069e-09,2.59864513801621e-08
88,1,NaN,0.0184315924771702,5.47926293373852,8.49652973548935e-11,1.32680481357703e-08,2.38466538106203e-08
89,1,NaN,196.956229755953,6.19750590996887,1.2140789839301e-13,1.01385605292144e-05,1.00659256319558e-13
90,1,NaN,0.00102928611055141,8.93903535190308,2.29170073282845e-10,1.1088180689371e-08,2.3981327661358e-08
91,1,NaN,331.937578745602,8.0870663297113,8.11273739827633e-17,1.01349391071548e-05,6.46754369778515e-16
92,1,NaN,344.046840322288,5.69256237777307,7.35073094684276e-15,1.01297930706928e-05,1.23622689747796e-14
93,1,NaN,337.947551919223,2.24215793781121,2.14040666625319e-17,1.0139298808851e-05,6.50383364025241e-16
94,1,NaN,0.00221897784835606,4.50177844205423,8.27692700199196e-11,9.21551293756576e-09,2.23198978709273e-08
95,1,NaN,0.0209321678082406,3.63622616822439,7.92690425822861e-11,1.02798925855005e-08,2.19645528163372e-08
96,1,NaN,213.907353410023,19.70489887607,5.58366706746615e-14,1.01369134585052e-05,1.12016508028675e-13
97,1,NaN,318.354875383333,25.4925202101053,4.88647327743324e-10,1.01218325941462e-05,4.00869581700125e-10
98,1,NaN,223.135186231497,7.59336651599598,2.25424330749811e-13,1.01348500356917e-05,4.84623439617997e-13
99,1,NaN,0.00651975519333568,14.0738088394716,2.82485044304282e-10,1.35416466795771e-08,2.29901903683675e-08
100,1,NaN,0.000998767283858851,20.7352262596091,4.23558248373432e-09,1.37523396720903e-08,2.31284756776588e-08
