Run,Converged,RMSE_X,RMSE_Z,RMSE_Y,RMSE_p_RollRate,RMSE_q_PitchRate,RMSE_r_YawRate
1,1,NaN,8.7994622872597e-05,47.8272271443673,1.63170937061753e-17,5.88076966483527e-08,9.12143598784087e-16
2,1,NaN,0.000369020226339483,179.25074856518,6.44516379956729e-12,5.86258522965824e-08,1.51919589699387e-11
3,1,NaN,0.000199275614611265,100.383396847361,1.86951094276063e-17,5.87450016740895e-08,9.50194048875424e-16
4,1,NaN,6.57608521547296e-05,39.4128760058117,1.66294988643549e-17,5.86947458134604e-08,9.7754930428227e-16
5,1,NaN,0.00082854090423907,130.285241995628,1.11117924143807e-07,5.89613179041971e-08,2.57872694741525e-07
6,1,NaN,0.000291075824872561,63.2541736004865,2.02512378011967e-11,5.86308040936462e-08,4.78348117038787e-11
7,1,NaN,0.000333115565463858,147.172208537154,3.59449316697298e-10,5.87232487399781e-08,8.5244513777825e-10
8,1,NaN,0.000255471625013794,111.089437479709,6.96268727545327e-15,5.86043135974499e-08,1.61497539794031e-14
9,1,NaN,5.5889033076211e-05,39.4514393075646,1.64764346633816e-17,5.87865507757643e-08,9.57546469118728e-16
10,1,NaN,0.000315965572910574,124.040368269875,3.04832539694755e-09,5.87926261114038e-08,7.22280183904139e-09
11,1,NaN,0.000189351505839732,52.1346703131987,1.57576288697968e-17,5.8634212492096e-08,9.36372929563373e-16
12,1,NaN,0.000295937859090415,138.130729657547,5.56756843893738e-13,5.86466223469771e-08,1.30454495759294e-12
13,1,NaN,6.89119179616055e-05,31.0661946111192,1.59021814335014e-17,5.86817096322749e-08,9.26272555455806e-16
14,1,NaN,0.000335048558327123,126.080919155592,5.52135815660829e-13,5.85673842644397e-08,1.29301715476208e-12
15,1,NaN,0.000257312129722909,103.683890391327,2.14656951469552e-16,5.8615938764437e-08,1.0463715372472e-15
16,1,NaN,0.000163034201128378,95.184598719847,1.88405188403784e-17,5.87411936464361e-08,9.32833544128086e-16
17,1,NaN,0.000114241534681302,47.189344703301,1.6146043135497e-17,5.87473297355818e-08,9.50725217345794e-16
18,1,NaN,5.74122528431153e-05,25.1278618492072,1.68035144910096e-17,5.86877979713527e-08,9.26938098901731e-16
19,1,NaN,8.47477298900276e-05,61.7634110171263,1.58607474567518e-17,5.86892924731616e-08,9.26570775351863e-16
20,1,NaN,0.000164723378566483,108.791276996493,6.35185864003724e-17,5.87069261736206e-08,9.85557897653103e-16
21,1,NaN,7.13158229810526e-05,39.6326796969041,1.66337751586967e-17,5.86740510344339e-08,1.00557386727448e-15
