Run,Converged,RMSE_X_Pos,RMSE_Vx_Vel,RMSE_Z_Pos,RMSE_Y_Pos,RMSE_p_RollRate,RMSE_q_PitchRate,RMSE_r_YawRate
1,1,NaN,10.3514459676984,0.000621629467317253,257.098157459926,1.18581293220064e-09,5.88344832141633e-08,2.8121443839477e-09
2,1,NaN,10.3532666619769,0.000211716802078674,94.3417430543692,1.32709330185277e-16,5.87468101367172e-08,1.04413683838072e-15
3,1,NaN,10.3548268848476,3.1276882602465e-05,65.9777087859571,1.60079398004971e-17,5.87754071732494e-08,9.3806142915831e-16
4,1,NaN,10.3534308288148,0.000180907852670125,98.3552592461074,1.76785548378424e-17,5.8721307076881e-08,9.75498288821556e-16
5,1,NaN,10.3550403719808,4.62455337734234e-05,40.2364690404808,1.63857825083354e-17,5.87674753033468e-08,9.66340509459954e-16
6,1,NaN,10.3533390449577,0.000173114979732972,90.4806413828139,3.26116828641344e-17,5.87137566340905e-08,9.46624774621267e-16
7,1,NaN,10.3547707944582,5.02131360214917e-05,30.3414797664248,1.71735106432768e-17,5.868799888163e-08,1.00683773100612e-15
8,1,NaN,10.3519338511181,0.000360966554332274,157.337565863404,9.05801576902689e-11,5.86704388444901e-08,2.14516545946278e-10
9,1,NaN,10.3551173416803,4.68959807098447e-05,19.2247958176251,1.66886586433816e-17,5.88272787574309e-08,9.71960693911225e-16
10,1,NaN,10.3525611314656,0.000464988472241921,220.19024688337,6.68235435760964e-13,5.88976554239551e-08,1.56836926846816e-12
11,1,NaN,10.3540776657885,9.32761170855437e-05,75.909111204395,1.73622905110674e-17,5.87441333124268e-08,9.16784541175111e-16
12,1,NaN,10.3544884257353,5.22945012014248e-05,45.2465875868957,1.59806740341447e-17,5.87703401052651e-08,9.38316350513489e-16
13,1,NaN,10.3480269368101,0.0024926963846571,209.238079748247,1.96121904447747e-06,5.10208430665263e-08,4.24085456056856e-06
14,1,NaN,10.3541270256466,9.59331287925018e-05,40.0470738290056,1.65945603825964e-17,5.8776113480413e-08,1.0063878973395e-15
15,1,NaN,10.3546963982163,5.55970732233006e-05,27.9159947867262,1.65403242137808e-17,5.87599337111259e-08,9.69332690723245e-16
16,1,NaN,10.3551805890474,7.56449806024408e-05,15.7589504621745,1.63824604120479e-17,5.86732789087357e-08,9.1191681946584e-16
17,1,NaN,10.3532002902262,0.000225478067199853,115.227414830949,2.18321935448675e-16,5.86329399669735e-08,1.09222829619287e-15
18,1,NaN,10.3536120625308,9.08272146681765e-05,7.82769349959897,1.86725689575326e-17,5.85437452320349e-08,8.81303214347655e-16
19,1,NaN,10.3538657071923,0.000105369864539916,47.9617154927138,1.60763243459608e-17,5.87926768946941e-08,9.12105151233747e-16
20,1,NaN,10.3536269808341,0.000178133672230059,65.3130309166664,1.61990292373008e-17,5.8755166118695e-08,9.22550913822735e-16
21,1,NaN,10.3530474595265,0.000266184124697199,101.490817045495,3.16341532354123e-15,5.86146159710397e-08,7.37764996300297e-15
22,1,NaN,10.3526610606663,0.000292654676018594,111.602777391827,3.52933956445759e-13,5.86181163098944e-08,8.25589442070841e-13
23,1,NaN,10.3511600005445,0.000447735259168871,246.500228144463,3.86876685544111e-09,5.8852552742642e-08,9.16122942080918e-09
24,1,NaN,10.3534140039941,0.000153211490507017,67.8593917173889,1.96885013561413e-17,5.86465737187161e-08,9.66138187258309e-16
